20191030,青浦,白鹤,白石路2742弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018993/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,32户
20191030,青浦,白鹤,白鹤镇鹤翔路181弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020020425236427/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,白鹤,赵江路208弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026691832334/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,白鹤,国际美车城,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005142/,2000年建成 ,板楼,0.6元/平米/月,昆山市振业物业管理有限,昆山市曹安投资发展有限公司,10,312户
20191030,青浦,白鹤,鹤祥路276弄,17978元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208441/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,7,74户
20191030,青浦,白鹤,外青松公路2723弄,22625元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006030/,1987年建成 ,板楼,暂无信息,暂无信息,暂无信息,8,128户
20191030,青浦,白鹤,赵江路46弄,14360元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369719/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,14户
20191030,青浦,白鹤,霞浦小区,18970元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018747/,1997年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,6,72户
20191030,青浦,白鹤,鹤如路98弄,18220元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956290/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,6,60户
20191030,青浦,白鹤,外青松公路2885弄,18657元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019174/,2003年建成 ,板楼,暂无信息,暂无信息,暂无信息,6,50户
20191030,青浦,白鹤,赵江路186弄,14040元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208476/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,48户
20191030,青浦,白鹤,鹤祥苑,21830元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001524/,2009年建成 ,板楼,0.6元/平米/月,暂无信息,暂无信息,30,330户
20191030,青浦,白鹤,外青松公路2965弄,20619元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208358/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,17户
20191030,青浦,白鹤,赵中路31弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956199/,1996年建成 ,板楼,暂无信息,暂无信息,暂无信息,5,46户
20191030,青浦,白鹤,外青松公路2798弄,19175元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000943/,1996年建成 ,板楼,1.2元/平米/月,上海青浦鹤翔物业管理有限,上海青浦鹤翔物业管理有限公司,29,284户
20191030,青浦,白鹤,白鹤镇北小区,18909元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018743/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,23,231户
20191030,青浦,白鹤,民惠佳苑(六区),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207853/,2007年建成 ,板楼,1.8元/平米/月,暂无信息,暂无信息,236,236户
20191030,青浦,白鹤,時代名邸,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020033487048539/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,4,416户
20191030,青浦,白鹤,時代名邸,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020033540519503/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,19,1966户
20191030,青浦,白鹤,陆家角馨苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001071/,2014年建成 ,板楼,暂无信息,暂无信息,暂无信息,124,430户
20191030,青浦,白鹤,西晶明园,20366元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007319/,2008年建成 ,板楼,0.7元/平米/月,暂无信息,暂无信息,130,544户
20191030,青浦,白鹤,欣雨佳苑,17208元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012057/,2008年建成 ,板楼,0.35元/平米/月,星星,上海星星房地产开发公司,95,972户
