20191030,普陀,武宁,中山北路3904弄,55042元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008088/,1995年建成 ,板楼,3.6元/平米/月,徐房,上海旭辉地产,6,161户
20191030,普陀,武宁,中环大厦,37982元/m2,10套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018327/,2004年建成 ,塔楼,4.81元/平米/月,上海四强物业管理有限,顺德区恒龙房产有限公司,1,606户
20191030,普陀,武宁,普陀二村,64642元/m2,12套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015405/,1981年建成 ,板楼/塔板结合,0.35元/平米/月,上海长风物业有限,市政开发公司,26,662户
20191030,普陀,武宁,中山润园,102952元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011062719468/,2015年建成 ,板楼,4.3元/平米/月,狮城怡安（上海）物业管理有限,上海磐润置业有限公司,10,374户
20191030,普陀,武宁,光复西路145弄,67246元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006645/,1981年建成 ,板楼,0.4元/平米/月,长乐物业管理,无,9,240户
20191030,普陀,武宁,朝阳大楼,62857元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004087/,1996年建成 ,塔楼,1.1元/平米/月,上海长风物业有限,上海市普陀区城市建设投资有限公司,1,84户
20191030,普陀,武宁,白大楼,58652元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019432/,1986年建成 ,塔楼,0.3至1.3元/平米/月,暂无信息,无,3,626户
20191030,普陀,武宁,东沙小区,63449元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015847/,1991年建成 ,塔楼/板楼,0.75元/平米/月,东沙,普陀建筑,11,810户
20191030,普陀,武宁,普陀四村,64170元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015459/,1965年建成 ,板楼,0.4元/平米/月,上海普陀物业有限,上海建工房产有限公司,31,763户
20191030,普陀,武宁,中山北路2590号,64304元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007472/,1975年建成 ,板楼,0.8元/平米/月,上海茂盛物业管理有限,上海置业,1,30户
20191030,普陀,武宁,顺达公寓,59980元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015219/,1997年建成 ,塔楼,1.35元/平米/月,上海运达物业管理有限,上海芙蓉房地产开发有限公司,1,180户
20191030,普陀,武宁,中山北路3924弄,60800元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007515/,1992年建成 ,板楼,3.6元/平米/月,上海瑞星物业管理,上海华运房地产开发有限公司,6,182户
20191030,普陀,武宁,西谈家渡路21号,66972元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007535/,1990年建成 ,板楼,0.8元/平米/月,上海置业集团,上海置业,1,36户
20191030,普陀,武宁,宁夏路220号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675942175/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,普陀,武宁,隆德路131号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292479/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,普陀,武宁,西谈家渡路109弄,64164元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008759/,1986年建成 ,板楼,0.6元/平米/月,金阳,暂无信息,4,133户
20191030,普陀,武宁,隆德路147号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292480/,1998年建成 ,塔楼,3元/平米/月,上海长风物业有限,保定白沟隆德投资有限公司,1,3户
20191030,普陀,武宁,武宁路200弄54号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169754/,1989年建成 ,板楼,1元/平米/月,上海长峰房地产开发有限,上海东上海联合置业有限公司,1,1户
20191030,普陀,武宁,万千大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012056/,1988年建成 ,塔楼,2元/平米/月,上海中山物业有限,上海万千投资开发有限公司,1,192户
20191030,普陀,武宁,谈家渡路136号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026936232047/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,普陀,武宁,中联大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017256/,2000年建成 ,塔楼,3元/平米/月,第一太平戴维斯,上海中环投资开发（集团）有限公司,1,302户
20191030,普陀,武宁,东新路349号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599657757/,1982年建成 ,板楼,0.3元/平米/月,上海置业集团,上海置业,1,3户
20191030,普陀,武宁,顺义路188号(商铺),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645270642/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
