20191030,浦东,宣桥,宣中路657号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015365358258355/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,浦东,宣桥,南六公路625号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012739231886439/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,302户
20191030,浦东,宣桥,南六公路699弄1支弄62号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021457210524/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,南六公路675号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941935/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,244户
20191030,浦东,宣桥,南六公路725号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941957/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,浦东,宣桥,宣城新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010297440744009/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,6,60户
20191030,浦东,宣桥,南六公路775号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941958/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,浦东,宣桥,南六公路799弄159号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941960/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,浦东,宣桥,闵家浜路70弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206561/,2013年建成 ,板楼,暂无信息,暂无信息,暂无信息,12,216户
20191030,浦东,宣桥,南六公路699号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941938/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,浦东,宣桥,南六公路699弄3支弄447号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941947/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,桃源花苑一区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014708/,2005年建成 ,板楼,暂无信息,暂无信息,暂无信息,125,125户
20191030,浦东,宣桥,汇技路988号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019177/,暂无信息 ,板楼,暂无信息,无,暂无信息,24,25户
20191030,浦东,宣桥,祝桥村668号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020022621452510/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,南六公路699弄1支弄312号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027464906504/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,香樟湾国际养老社区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206745/,1995年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,阳光四季,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004895/,1996年建成 ,板楼,1.15元/平米/月,暂无信息,暂无信息,9,205户
20191030,浦东,宣桥,幸福宜居,11766元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003016/,2004年建成 ,板楼,0.7元/平米/月,暂无信息,暂无信息,16,272户
20191030,浦东,宣桥,明祥苑,16511元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102205979/,2011年建成 ,板楼,暂无信息,暂无信息,暂无信息,16,192户
20191030,浦东,宣桥,两港批发部,22239元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005636/,2007年建成 ,塔楼/板楼,暂无信息,暂无信息,暂无信息,1644,1667户
20191030,浦东,宣桥,南瑞别墅,41433元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014694/,2007年建成 ,板楼,2.5元/平米/月,暂无信息,暂无信息,126,126户
20191030,浦东,宣桥,九九别墅（北苑）,暂无,2套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891379/,2004年建成 ,板楼,暂无信息,暂无信息,暂无信息,31,37户
20191030,浦东,宣桥,花源湾,39192元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009033/,2008年建成 ,板楼,2元/平米/月,上海鑫源,上海名流置业有限公司,157,167户
20191030,浦东,宣桥,景瑞法兰云廷,33455元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057275/,2013年建成 ,板楼,1.5至6.5元/平米/月,上海景瑞物业管理有限,上海馨安置业有限公司,64,207户
20191030,浦东,宣桥,欣荷苑,21606元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002066/,2008年建成 ,板楼,1.2元/平米/月,上海宣桥物业管理有限,上海东鼎房地产发展有限公司,51,684户
20191030,浦东,宣桥,欣梅苑,21795元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000495/,2007年建成 ,板楼,0.8元/平米/月,上海宣桥物业管理有限,上海普恒实业发展有限公司,78,1015户
