20191030,浦东,塘桥,航运小区,61025元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005882/,1991年建成 ,板楼,0.8元/平米/月,潍坊,上海睿涛房地产开发有限公司,16,337户
20191030,浦东,塘桥,浦建小区,59188元/m2,12套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005122/,1979年建成 ,板楼,0.35元/平米/月,潍坊,上海工房实业有限公司,35,1006户
20191030,浦东,塘桥,康乐花园(浦东),62458元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010058/,1998年建成 ,板楼,1.1元/平米/月,天逸,上海浦东明珠房地产发展公司,20,232户
20191030,浦东,塘桥,众城商厦,42337元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016843/,1998年建成 ,塔楼/板楼,暂无信息,上海锦华置业发展有限,上海锦华置业发展有限公司,2,102户
20191030,浦东,塘桥,东方天伦大厦,75732元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014355/,2006年建成 ,板楼,1.81元/平米/月,上海兴乐物业管理有限,上海华扬房地产有限公司,4,67户
20191030,浦东,塘桥,家化滨江苑,73372元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016848/,2004年建成 ,板楼,3.8元/平米/月,上实物业管理(上海)有限,上海家化置业有限公司,3,237户
20191030,浦东,塘桥,盛族家园-悉尼阳光·悉尼星光,78273元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017672/,2000年建成 ,板楼,1.75元/平米/月,上海陆家嘴物业管理有限,上海盛族房地产开发经营有限公司,13,337户
20191030,浦东,塘桥,东源大厦,59815元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017666/,2000年建成 ,塔楼,1.55元/平米/月,上海盛林物业管理有限,东源置业发展有限公司,1,189户
20191030,浦东,塘桥,东方金座,50962元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016100/,2003年建成 ,塔楼,1.55元/平米/月,上海德律风物业管理,上海房地产经营（集团）有限公司,1,168户
20191030,浦东,塘桥,南泉路1317号小区,61580元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057802/,1993年建成 ,板楼,0.85元/平米/月,金浦,南泉（武汉）物业发展有限公司,1,36户
20191030,浦东,塘桥,浦明路1258号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569248804/,2010年建成 ,板楼,8元/平米/月,暂无信息, 重庆桥达茂宸房地产开发有限公司,1,2户
20191030,浦东,塘桥,浦建路119号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970554045436/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,塘桥,东方路1535号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701479/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,5户
20191030,浦东,塘桥,东方路1824号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701486/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,塘桥,浦东南路2240号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635435715298/,1996年建成 ,未知,暂无信息,暂无信息,暂无信息,1,21户
20191030,浦东,塘桥,蓝村路518号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703122/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,塘桥,峨山路709号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599657958/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,塘桥,峨山路607-2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599657953/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,塘桥,峨山路607号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599657954/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,塘桥,峨山路378号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599657948/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,塘桥,蓝村路508-510号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703119/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,塘桥,蓝村路2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703115/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,浦东,塘桥,东方路1498号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701477/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,塘桥,东方路1683号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701480/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,塘桥,峨山路709号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599657958/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
