20191030,浦东,世博,上南五村,56167元/m2,22套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013710/,1984年建成 ,塔楼/板楼,0.8元/平米/月,上海振南,上南开发集团,98,2797户
20191030,浦东,世博,上南大厦,56362元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012372/,1998年建成 ,塔楼,1.5元/平米/月,上海名东物业管理有限,上海南方（集团）有限公司,2,384户
20191030,浦东,世博,德州一村,54073元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013997/,1984年建成 ,塔楼/板楼,0.8元/平米/月,上海德州,上海浦房集团,66,1946户
20191030,浦东,世博,上南七村,55118元/m2,24套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014382/,1985年建成 ,板楼,0.4至0.7元/平米/月,上南,上南开发集团,70,1648户
20191030,浦东,世博,新世纪花苑(一期)(浦东),53381元/m2,14套在售二手房,https://sh.lianjia.com/xiaoqu/5020021450919618/,1993年建成 ,板楼,0.8元/平米/月,上海同康物业管理,上钢开发公司,50,1037户
20191030,浦东,世博,德州四村,52403元/m2,16套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014486/,1985年建成 ,板楼,0.8至40元/平米/月,上海上钢,上海浦房集团,113,2687户
20191030,浦东,世博,上南十二村,51440元/m2,17套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012958/,1992年建成 ,板楼,0.6至0.8元/平米/月,上海振南物业有限,上南开发集团,54,906户
20191030,浦东,世博,上钢七村,55632元/m2,12套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012163/,1981年建成 ,板楼,0.4元/平米/月,上海上钢,上海三林房地产开发经营有限公司,81,1766户
20191030,浦东,世博,上钢八九村,53170元/m2,16套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014649/,1982年建成 ,板楼,0.5元/平米/月,上海上钢,上海三林房地产开发经营有限公司,100,2509户
20191030,浦东,世博,恒大星级公寓,60267元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015784/,1998年建成 ,板楼,2.2元/平米/月,恒大置,上海恒大房产股份有限公司,34,521户
