,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
49,147,马克西-克勒贝尔,独行侠,9.20,3.20-7.10,44.7%,1.80-4.60,38.2%,1.10-1.20,86.7%,12,27.80
50,150,多里安-芬尼-史密斯,独行侠,9.10,3.40-6.90,48.9%,1.10-3.50,32.6%,1.10-1.90,60%,13,27.10
1,150,卡梅伦-约翰逊,太阳,9.10,3.10-7.00,44.2%,1.90-4.70,40.4%,1.00-1.10,91.7%,11,18.10
2,150,凯文-诺克斯,尼克斯,9.10,2.90-7.50,39%,1.50-3.90,38.9%,1.70-2.70,63.2%,14,22.00
3,150,兰德里-沙梅特,快船,9.10,3.00-7.70,39%,2.10-5.80,36.2%,1.00-1.00,100%,10,29.40
4,150,伊曼纽尔-穆迪埃,爵士,9.10,3.60-7.00,51.4%,0.40-1.60,25%,1.50-1.80,83.3%,10,17.00
5,150,达里厄斯-加兰,骑士,9.10,3.50-10.20,33.8%,1.10-3.60,29.8%,1.10-1.40,77.8%,13,27.80
6,156,道格-麦克德莫特,步行者,9.00,3.40-8.10,41.2%,1.70-4.00,42.9%,0.60-0.70,80%,14,21.90
7,156,约什-奥科吉,森林狼,9.00,2.90-6.60,43%,0.50-2.30,23.3%,2.80-3.80,72%,13,25.10
8,158,伊维察-祖巴茨,快船,8.90,3.40-5.60,60.8%,0.00-0.10,0%,2.00-2.40,84.8%,14,15.70
9,159,哈米杜-迪亚洛,雷霆,8.80,3.80-7.60,50%,0.20-1.20,15.4%,1.00-1.60,61.1%,11,22.00
10,160,丹尼-格林,湖人,8.60,3.10-6.90,44.8%,2.00-4.70,42.4%,0.40-0.60,66.7%,14,25.40
11,161,肯特-贝兹莫尔,开拓者,8.50,2.90-8.10,36.1%,1.50-4.00,36.7%,1.20-1.70,69.2%,15,23.90
12,161,切迪-奥斯曼,骑士,8.50,3.20-7.90,40.8%,1.50-4.20,37%,0.50-0.90,50%,13,30.00
13,163,乔丹-普尔,勇士,8.40,2.70-10.30,26%,1.40-5.60,25%,1.70-1.80,92.6%,15,26.20
14,164,克里斯蒂安-伍德,活塞,8.30,2.90-4.80,60.4%,0.90-1.60,55.6%,1.50-2.50,63%,11,15.00
15,165,贾勒特-卡尔弗,森林狼,8.20,3.20-8.60,37.5%,1.10-3.70,28.8%,0.70-2.10,34.5%,14,23.10
16,166,托马什-萨托兰斯基,公牛,8.10,3.00-6.80,44.2%,1.10-2.60,44.4%,1.00-1.10,87.5%,14,25.60
17,166,德朗-赖特,独行侠,8.10,3.10-5.80,53.3%,0.50-1.60,33.3%,1.40-1.50,90%,13,23.30
18,166,德怀特-鲍威尔,独行侠,8.10,3.30-5.30,62.3%,0.20-0.50,40%,1.30-2.20,59.1%,10,25.50
19,166,威利-考利-斯坦,勇士,8.10,3.70-6.00,61.1%,0.00-0.00,0%,0.80-0.90,81.8%,12,21.60
20,170,杰迈克尔-格林,快船,8.00,2.60-6.80,38.9%,1.70-4.60,37.5%,1.00-1.20,82.4%,14,22.20
21,170,加莱特-坦普尔,篮网,8.00,2.70-6.90,38.9%,1.50-4.80,32.3%,1.10-1.30,82.4%,13,22.90
22,172,奥斯汀-里弗斯,火箭,7.90,3.00-7.10,42%,1.20-3.90,30.9%,0.60-1.10,60%,14,23.00
23,172,塞思-库里,独行侠,7.90,2.60-6.10,43%,1.40-3.80,36%,1.30-1.50,89.5%,13,21.50
24,174,贾克森-海斯,鹈鹕,7.80,3.10-4.80,64.2%,0.00-0.20,0%,1.60-2.60,62.1%,11,17.10
25,174,杰伦-布伦森,独行侠,7.80,3.10-6.90,44.4%,0.60-2.40,25.8%,1.00-1.70,59.1%,13,18.90
26,174,特洛伊-布朗,奇才,7.80,3.10-6.90,45.5%,0.60-2.10,29.4%,0.90-1.00,87.5%,8,22.90
27,174,史蒂文-亚当斯,雷霆,7.80,3.50-7.00,50.6%,0.00-0.00,0%,0.70-2.50,29.6%,11,26.30
28,178,凯利-奥利尼克,热火,7.70,2.60-6.60,39.2%,1.60-4.20,38%,0.90-1.20,78.6%,12,22.20
29,179,贾斯廷-霍勒迪,步行者,7.50,2.60-6.90,37.1%,1.40-4.50,31.7%,0.90-1.10,81.3%,14,26.00
30,180,纳伦斯-诺埃尔,雷霆,7.40,2.90-4.60,64.1%,0.00-0.00,0%,1.60-1.90,81.5%,14,18.30
31,180,迈耶斯-伦纳德,热火,7.40,3.00-4.80,62.1%,1.10-1.80,61.9%,0.30-0.60,57.1%,12,20.20
32,180,唐特-迪温琴佐,雄鹿,7.40,2.80-6.20,45.2%,1.40-3.30,42.4%,0.40-0.60,66.7%,10,17.40
33,183,本-麦克勒摩,火箭,7.30,2.30-6.50,35.2%,1.60-5.40,30.3%,1.10-1.40,78.9%,14,19.50
34,183,德安德烈-乔丹,篮网,7.30,3.00-4.70,64.3%,0.00-0.00,0%,1.20-2.10,60%,12,21.90
35,185,帕特里克-贝弗利,快船,7.20,2.80-7.70,35.9%,0.80-4.40,18.9%,0.80-1.40,58.8%,12,30.20
36,185,尼基尔-亚历山大-沃克,鹈鹕,7.20,2.60-7.90,32.7%,1.50-4.20,35.6%,0.60-0.70,80%,14,16.10
37,185,乔-英格尔斯,爵士,7.20,2.40-6.90,34.4%,1.40-4.60,30%,1.00-1.20,81.3%,13,27.80
38,185,蒙特-莫里斯,掘金,7.20,2.90-7.10,41.2%,0.50-1.10,46.2%,0.80-1.10,76.9%,12,18.00
39,189,布鲁斯-布朗,活塞,7.10,2.70-6.90,38.9%,0.50-1.50,31.6%,1.20-2.10,59.3%,13,26.90
40,189,凯-鲍曼,勇士,7.10,2.90-6.30,45.3%,0.80-2.10,38.7%,0.50-0.60,88.9%,15,19.10
41,189,德安德烈-本布里,老鹰,7.10,3.10-5.90,51.9%,0.10-0.80,10%,0.90-2.00,42.3%,13,25.10
42,189,马文-威廉姆斯,黄蜂,7.10,2.40-5.00,47.1%,1.40-3.20,42.2%,1.00-1.20,82.4%,14,18.80
43,189,肯塔维厄斯-考德威尔-波普,湖人,7.10,2.90-6.70,43.6%,0.80-2.40,33.3%,0.50-0.60,77.8%,14,20.90
44,189,凯尔-安德森,灰熊,7.10,2.90-5.40,52.6%,0.30-1.10,26.7%,1.10-1.90,57.7%,14,21.00
45,195,小凯文-波特,骑士,7.00,2.50-6.50,38.5%,0.60-2.50,23.3%,1.40-1.80,77.3%,12,20.00
46,195,贾维尔-麦基,湖人,7.00,3.20-5.10,62.5%,0.00-0.00,0%,0.60-1.10,53.3%,14,16.60
47,195,泰厄斯-琼斯,灰熊,7.00,2.90-7.10,40%,0.40-1.90,18.5%,0.90-1.40,68.4%,14,20.60
48,198,尼科勒-梅利,鹈鹕,6.90,2.20-5.00,45%,1.20-3.20,35.9%,1.20-1.50,83.3%,12,16.70
49,199,克里斯-邓恩,公牛,6.80,2.90-6.40,45.6%,0.30-1.70,16.7%,0.60-0.90,69.2%,14,20.50
50,199,马基斯-克里斯,勇士,6.80,2.50-5.00,50%,0.10-0.70,20%,1.60-1.90,88.5%,14,15.90
1,199,俾斯麦-比永博,黄蜂,6.80,2.60-4.10,63.3%,0.00-0.00,0%,1.60-3.30,47.5%,12,13.50
2,199,卡姆-雷迪什,老鹰,6.80,2.30-8.50,27%,0.70-3.70,18.8%,1.50-1.90,83.3%,13,24.20
3,199,杰夫-格林,爵士,6.80,2.00-6.20,32.5%,1.40-3.60,38.3%,1.40-1.90,75%,13,19.10
4,204,TJ-麦康奈尔,步行者,6.70,3.10-6.10,50.7%,0.00-0.10,0%,0.50-0.60,85.7%,12,17.50
5,204,德怀特-霍华德,湖人,6.70,2.80-3.70,75%,0.00-0.00,0%,1.10-2.10,55.2%,14,20.60
6,204,泰勒-约翰逊,太阳,6.70,2.50-5.90,41.6%,1.00-2.80,35.1%,0.80-0.90,83.3%,13,19.20
7,207,凯尔-科沃尔,雄鹿,6.60,2.20-5.40,40.7%,1.70-4.20,41.3%,0.60-0.70,75%,11,15.60
8,208,韦斯利-马修斯,雄鹿,6.50,2.10-5.40,40%,1.20-3.80,32%,0.90-1.20,75%,13,23.50
9,208,詹姆斯-恩尼斯,76人,6.50,2.40-4.50,53.4%,0.50-1.50,35%,1.20-1.70,72.7%,13,15.50
10,208,马克-加索尔,猛龙,6.50,2.10-6.50,33.3%,1.20-3.00,41%,1.00-1.10,86.7%,13,28.20
11,211,特雷韦恩-格雷厄姆,森林狼,6.40,2.40-7.20,33.7%,0.50-3.10,16.3%,1.00-1.30,77.8%,14,25.80
12,211,梅森-普拉姆利,掘金,6.40,2.60-4.60,56.4%,0.00-0.20,0%,1.20-2.30,53.6%,12,16.70
13,211,肯里奇-威廉姆斯,鹈鹕,6.40,2.30-5.40,42.7%,1.20-3.40,35.4%,0.60-1.10,50%,14,24.60
14,211,丹尼尔-泰斯,凯尔特人,6.40,2.40-5.20,45.6%,0.20-1.00,18.2%,1.50-2.10,69.6%,11,22.40
15,211,奥马里-斯佩尔曼,勇士,6.40,2.20-5.60,39.2%,0.40-1.40,25%,1.60-2.10,76.7%,14,16.00
16,216,亚历克斯-莱恩,老鹰,6.30,2.20-5.30,42%,0.30-1.90,16.7%,1.50-2.50,62.5%,13,18.20
17,216,伊斯梅尔-史密斯,奇才,6.30,2.70-7.20,38%,0.40-1.90,23.8%,0.40-0.60,57.1%,11,24.30
18,216,迈克-斯科特,76人,6.30,2.50-5.20,47.8%,1.00-2.80,36.1%,0.40-0.40,100%,13,18.00
19,219,罗伊斯-奥尼尔,爵士,6.20,2.20-4.20,52.7%,1.10-2.20,48.3%,0.60-0.60,100%,13,28.30
20,220,达米安-琼斯,老鹰,6.10,2.70-3.90,68.1%,0.20-0.20,66.7%,0.60-1.00,58.3%,12,16.70
21,220,布拉德-沃纳梅克,凯尔特人,6.10,2.00-3.80,52%,0.30-0.90,36.4%,1.80-1.90,92%,13,15.30
22,222,莫里斯-哈克利斯,快船,6.00,2.60-5.00,51.4%,0.40-1.30,27.8%,0.50-0.90,58.3%,14,22.50
23,223,马利克-比斯利,掘金,5.90,2.20-6.10,36.1%,1.20-3.00,40%,0.30-0.30,100%,10,15.30
24,224,米卡尔-布里奇斯,太阳,5.80,2.10-4.50,47.5%,0.40-1.60,23.8%,1.10-1.50,73.7%,13,19.50
25,224,泰-吉布森,尼克斯,5.80,2.50-4.70,53.6%,0.00-0.30,0%,0.80-1.00,75%,12,16.20
26,224,贾斯廷-杰克逊,独行侠,5.80,2.10-4.40,47.2%,0.90-2.20,42.3%,0.70-0.80,80%,12,12.00
27,224,所罗门-希尔,灰熊,5.80,2.00-4.60,43.6%,1.00-2.70,37.5%,0.80-1.20,64.3%,12,17.80
28,228,艾森-伊利亚索瓦,雄鹿,5.70,2.10-5.00,41.5%,0.60-2.80,22.2%,0.90-1.10,85.7%,13,15.80
29,228,斯特林-布朗,雄鹿,5.70,2.10-4.90,42.9%,0.90-2.30,39.1%,0.60-0.90,66.7%,10,15.60
30,230,马里奥-海佐尼亚,开拓者,5.50,1.90-5.30,35.4%,0.70-1.90,34.5%,1.10-1.40,81%,15,20.30
31,230,戈尔吉-吉昂,森林狼,5.50,2.10-4.80,43.8%,0.30-1.50,20%,1.00-1.20,83.3%,10,11.90
32,230,亚历克斯-卡鲁索,湖人,5.50,2.20-5.30,42%,0.70-2.20,31%,0.30-0.50,66.7%,13,20.20
