20191030,闵行,华漕,紫堤坊,37437元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000744/,2004年建成 ,板楼,0.8元/平米/月,无,上海业丰置业有限公司,20,241户
20191030,闵行,华漕,凯德林茵湖畔(公寓),58366元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004256/,2007年建成 ,板楼,5至6.5元/平米/月,上海凯德置地物业管理有限,上海奥顺置业有限公司,20,136户
20191030,闵行,华漕,华漕新村,36488元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012359/,1994年建成 ,板楼,0.6元/平米/月,上海申茂物业管理有限,上海华漕房地产开发有限公司,81,953户
20191030,闵行,华漕,共建小区,42563元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011942/,1991年建成 ,板楼,1.2元/平米/月,上海华舒物业有限,暂无信息,28,312户
20191030,闵行,华漕,西庭网球俱乐部和公寓,51443元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010644/,2000年建成 ,板楼,15.7元/平米/月,上海世邦魏理仕物业顾问有限,上海西庭网球公寓开发有限公司,25,550户
20191030,闵行,华漕,友谊新村(闵行),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057283/,1990年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,1,1户
20191030,闵行,华漕,纪鹤路43号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956352/,1996年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,25户
20191030,闵行,华漕,东华美路10弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005080/,1993年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,华漕,北青公路2115弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003414/,2012年建成 ,未知,暂无信息,暂无信息,暂无信息,12,144户
20191030,闵行,华漕,北青公路958号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453939/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,华漕,天山西路2288号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970523374150/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,华漕,北翟路2869号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453992/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,华漕,恺尊广场,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5017071741350657/,暂无信息 ,未知,暂无信息,暂无信息,上海恺畅房地产开发有限公司,2,90户
20191030,闵行,华漕,苏虹路396号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026765239676/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,华漕,申长路1333号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027651644513/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,11户
20191030,闵行,华漕,申滨路25号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016524725464528/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,17户
20191030,闵行,华漕,纪高路295弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020022358163082/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,华漕,保乐路664号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5017971765586984/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,华漕,华美中路18号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047265/,1986年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,华漕,申长路1261号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027642204804/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,华漕,诸翟西街37号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014640011840007/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,华漕,申虹国际大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020060/,2011年建成 ,未知,暂无信息,上房,中心集团,4,518户
20191030,闵行,华漕,华美中路1号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389545929739/,1991年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,华漕,苏虹路388号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026764189339/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,华漕,北翟路1554号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453989/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,闵行,华漕,繁兴路399号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599658034/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,华漕,幸乐路7号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066541/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,华漕,申长路1209弄2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970538840826/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,华漕,纪翟路888号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970443682473/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
