20191030,闵行,马桥,东街14号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012156764435274/,1995年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,10户
20191030,闵行,马桥,马桥镇东街11号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019928/,1996年建成 ,板楼,0.5元/平米/月,暂无信息,上海南上海动拆迁置业有限公司,1,20户
20191030,闵行,马桥,马桥镇西街4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057255/,1996年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,18户
20191030,闵行,马桥,富岩路12号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011949367898409/,1994年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,2,24户
20191030,闵行,马桥,马桥镇西街7号,25728元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014551143713166/,1996年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,马桥,东新街13号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014165265124257/,1997年建成 ,板楼,暂无信息,暂无信息,无,1,12户
20191030,闵行,马桥,东新街4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019926/,1994年建成 ,板楼,暂无信息,暂无信息,上海东上海联合置业有限公司,1,18户
20191030,闵行,马桥,西街5号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015780356591101/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,闵行,马桥,富岩路21号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057415/,1996年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,马桥,马桥镇西街1号,21028元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010659701731461/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,5户
20191030,闵行,马桥,南中街55号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010433090039441/,1991年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,闵行,马桥,富岩路14号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013535568735527/,1996年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,12户
20191030,闵行,马桥,富岩路22号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012968269721499/,1996年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,24户
20191030,闵行,马桥,富岩路8号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057346/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,马桥,东新街3号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018424/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,18户
20191030,闵行,马桥,东新街25号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956101/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,闵行,马桥,东街15号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015892151570069/,1995年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,12户
20191030,闵行,马桥,东新街9号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014057217755533/,1995年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,12户
20191030,闵行,马桥,东新街5号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011266830905656/,1995年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,10户
20191030,闵行,马桥,东新街11号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319302/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,马桥,马桥镇西街19号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010524008919945/,1995年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,10户
20191030,闵行,马桥,富岩路15号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015275302072738/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,18户
