20191030,长宁,古北,金鹿公寓,75323元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017761/,1993年建成 ,板楼,3元/平米/月,上海古北物业管理有限,上海古北(集团)有限公司,11,147户
20191030,长宁,古北,伦敦广场,66868元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016054/,2004年建成 ,板楼,7.5元/平米/月,上海古北物业管理有限,上海宝域房地产发展有限公司,2,224户
20191030,长宁,古北,广场大厦,61562元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016249/,1994年建成 ,塔楼,3元/平米/月,上海古北物业管理有限,古北集团,2,320户
20191030,长宁,古北,古北中央花园,110954元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015703/,2003年建成 ,板楼/平房,4.5元/平米/月,上海芸琦物业有限管理,上海一百大统房地产有限公司,16,358户
20191030,长宁,古北,万科广场,53613元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004200/,1994年建成 ,塔楼,4至13元/平米/月,上海高地物业管理有限公司外滩国际金融服务中心分,万科集团,2,184户
20191030,长宁,古北,金龙公寓(长宁),73150元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737724/,1993年建成 ,板楼,1.8元/平米/月,上海英伦物业服务有限,上海古北(集团)有限公司,5,94户
20191030,长宁,古北,古北路1335号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146113/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,古北,古羊路770号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146321/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,古北,古羊路754号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146305/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,古北,水城南路356-1号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970782109995/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,古北,水城南路17号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970782109982/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,长宁,古北,古羊路760号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146311/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,古北,水城南路8号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970782110012/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,古北,水城南路356-2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970782109996/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
