20191030,长宁,镇宁路,金桥花园,78533元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5020023390329823/,1997年建成 ,塔楼/板楼,3.5元/平米/月,仲量联行,香港沿海物业集团上海凌志置业有限公司,3,284户
20191030,长宁,镇宁路,东诸安浜路158弄,69481元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007819/,1989年建成 ,板楼,1.2元/平米/月,长宁,长宁集团,3,105户
20191030,长宁,镇宁路,丁香大楼,96283元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016918/,1992年建成 ,塔楼,1.5元/平米/月,上海新长宁集团,上海新长宁（集团）有限公司,2,288户
20191030,长宁,镇宁路,兰庭,147514元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015897/,2006年建成 ,板楼,14.3元/平米/月,上海高丽国际,上海运高房地产发展有限公司,8,89户
20191030,长宁,镇宁路,东诸安浜路61号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007656/,1990年建成 ,板楼,暂无信息,暂无信息,上海新长宁集团,1,18户
20191030,长宁,镇宁路,镇宁路391号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207994/,1936年建成 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,长宁,镇宁路,华山路1473号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363955787/,1957年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,镇宁路,新东纺商务中心,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008877/,2004年建成 ,未知,暂无信息,暂无信息,暂无信息,1,14户
20191030,长宁,镇宁路,兴国路324号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009148/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,镇宁路,淮海中路1974号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009115/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,镇宁路,安西路674号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970523374355/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,长宁,镇宁路,延安西路748号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970523374361/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,长宁,镇宁路,江苏路803号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970538841021/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,镇宁路,江苏路589号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970538841012/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,镇宁路,华山路1617-1621号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249303/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,镇宁路,华山路1589号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249299/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,镇宁路,延安西路646号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016025977631079/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,长宁,镇宁路,万航渡路564号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009742/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,5户
20191030,长宁,镇宁路,愚园路843号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010129/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,长宁,镇宁路,兴国路300号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010540/,1949年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,15户
