20191030,徐汇,华东理工,化工二三村,52860元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001670/,1944年建成 ,板楼,1元/平米/月,上海金辉物业有限,上海申化房地产开发经营公司,39,468户
20191030,徐汇,华东理工,高雅新村,57135元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003814/,1998年建成 ,板楼,0.5元/平米/月,斜土小区,上海南上海动拆迁置业有限公司,6,73户
20191030,徐汇,华东理工,凌云壹街坊,50555元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011063894409/,2013年建成 ,板楼,5元/平米/月,上海御华物业管理有限,上海城宇滨江置业有限公司,2,197户
20191030,徐汇,华东理工,罗秀路949号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453275/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,徐汇,华东理工,行知路180号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630067115/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华东理工,梅陇路565弄8号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453637/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华东理工,梅陇路577号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453639/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华东理工,凌云路397号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350825/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华东理工,龙州路491-498号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292457/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华东理工,老沪闵路633号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703180/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,徐汇,华东理工,虹梅南路680弄13号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169542/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华东理工,天等路478号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970523373996/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华东理工,上中西路211号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970538840756/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
