20191030,徐汇,漕河泾,特力集团,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207382/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,徐汇,漕河泾,钦江路88号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005096/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,18户
20191030,徐汇,漕河泾,虹梅路2800号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169472/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,漕河泾,漕河泾星联科研大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207196/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,4,54户
20191030,徐汇,漕河泾,华鑫天地,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207347/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,3,26户
20191030,徐汇,漕河泾,浦原科技园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207323/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,5户
20191030,徐汇,漕河泾,桂箐路65号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207459/,2015年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,漕河泾,惠工新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207461/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,3,3户
20191030,徐汇,漕河泾,诚达创意产业园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319305/,暂无信息 ,未知,暂无信息,诚达创意产业园,上海诚盛太好百货有限公司,1,32户
20191030,徐汇,漕河泾,华鑫科技园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736497160/,2005年建成 ,塔楼,18元/平米/月,上海华鑫物业管理顾问有限,上海众怡置业有限公司,1,11户
20191030,徐汇,漕河泾,新汇园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013689/,1993年建成 ,塔板结合,0.8元/平米/月,自主,上海京南地产,24,81户
20191030,徐汇,漕河泾,漕河泾软件大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011295657046412/,2007年建成 ,板楼,1.2元/平米/月,徐房,城开集团,3,28户
20191030,徐汇,漕河泾,智汇园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207578/,1993年建成 ,板楼,6元/平米/月,暂无信息,中房联合集团大庆中房置业有限公司,8,51户
20191030,徐汇,漕河泾,新业园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/50000000000174/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,徐汇,漕河泾,华鑫慧享城,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/50000000000195/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,24户
20191030,徐汇,漕河泾,上海研祥科技大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/50000000000090/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,48户
20191030,徐汇,漕河泾,虹漕大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207471/,1989年建成 ,塔楼,2.17元/平米/月,漕河泾,中国房地产开发深圳公司,5,35户
20191030,徐汇,漕河泾,华鑫中心,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207473/,暂无信息 ,板楼,26元/平米/月,戴德梁行,华鑫置业房地产开发有限公司,4,92户
20191030,徐汇,漕河泾,钦州北路919号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023244506117/,2015年建成 ,平房,3元/平米/月,暂无信息,中房联合集团大庆中房置业有限公司,1,1户
20191030,徐汇,漕河泾,宝石园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011765/,2008年建成 ,未知,暂无信息,暂无信息,暂无信息,8,352户
20191030,徐汇,漕河泾,桂中园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001706/,1996年建成 ,板楼,暂无信息,暂无信息,上海东上海联合置业有限公司,7,50户
20191030,徐汇,漕河泾,新茂大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015058/,2002年建成 ,未知,暂无信息,暂无信息,暂无信息,7,160户
20191030,徐汇,漕河泾,光启园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010052/,2003年建成 ,塔板结合,7.5元/平米/月,上海漕河泾开发区物业管理有限公司临港分,漕河泾,6,54户
20191030,徐汇,漕河泾,虹六小区,59660元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019227/,1987年建成 ,板楼,0.8元/平米/月,上海虹霞物业管理,上海漕河泾房产开发有限公司,7,156户
20191030,徐汇,漕河泾,钦州北路929号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249141/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,漕河泾,凤凰园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003665/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,7,334户
20191030,徐汇,漕河泾,莲花大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012196/,暂无信息 ,未知,暂无信息,蓝鼎晨物业管理,漕河泾新兴技术开发区发展总公司,1,114户
20191030,徐汇,漕河泾,虹钦园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011365/,1999年建成 ,未知,暂无信息,暂无信息,暂无信息,10,146户
20191030,徐汇,漕河泾,明申商务广场,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016535/,2003年建成 ,塔楼,15元/平米/月,上海明申物业管理有限,上海梅陇大厦发展有限公司,1,168户
20191030,徐汇,漕河泾,虹钦园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011365/,1999年建成 ,未知,暂无信息,暂无信息,暂无信息,10,146户
20191030,徐汇,漕河泾,钦汇园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011153/,1996年建成 ,板楼,暂无信息,无,北京泰德标准投资有限责任公司,12,256户
20191030,徐汇,漕河泾,永兆豪庭,60059元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011882222596584/,2008年建成 ,板楼,1.85元/平米/月,上海上工物业发展有限,上海永兆房地产有限公司,12,567户
