20191030,徐汇,衡山路,淮海中路1270弄,108686元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007551/,1930年建成 ,塔楼/板楼,0.8元/平米/月,佳贸(上海)贸易有限,上海徐房集团有限公司,26,243户
20191030,徐汇,衡山路,音苑小区,98099元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017894/,1940年建成 ,板楼,0.8元/平米/月,志晰,上海徐房集团有限公司,25,263户
20191030,徐汇,衡山路,乌鲁木齐南路157号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002942/,1993年建成 ,塔楼,4元/平米/月,上海三平房地产开发有限, 大理耀鹏房地产开发有限责任公司,1,8户
20191030,徐汇,衡山路,五原路122号,暂无,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001709/,2010年建成 ,板楼,1.5元/平米/月,暂无信息,万科房产,1,2户
20191030,徐汇,衡山路,淮海中路1262号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011084/,1996年建成 ,塔楼,9元/平米/月,上海民福,上海东上海联合置业有限公司,1,4户
20191030,徐汇,衡山路,华龙公寓(徐汇),113745元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015868/,1993年建成 ,塔楼/平房,1.4元/平米/月,上海高建物业有限,山西太恒达置业有限公司,1,240户
20191030,徐汇,衡山路,上方花园,99192元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018037/,1936年建成 ,板楼,2元/平米/月,上海永福物业有限,马海洋行,63,174户
20191030,徐汇,衡山路,上海新邨,120968元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010781/,1930年建成 ,板楼,1.3元/平米/月,上海新村物业管理有限,上海开发有限公司,39,112户
20191030,徐汇,衡山路,五原路214号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009563/,1948年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,6户
20191030,徐汇,衡山路,建安花园,118887元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015361/,1992年建成 ,板楼,0.8元/平米/月,暂无信息,上海汤臣房地产开发有限公司,1,11户
20191030,徐汇,衡山路,东湖路洋房,暂无,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009149/,1910年建成 ,板楼,0.8元/平米/月,上海东湖物业管理有限,上海陆洋公司,16,28户
20191030,徐汇,衡山路,长乐路683号,97660元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008744/,1977年建成 ,板楼,8元/平米/月,新加坡狮城怡安物业管理有限,德兴地产,1,24户
20191030,徐汇,衡山路,集雅公寓,118629元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016051/,1936年建成 ,板楼,1.2元/平米/月,高健,上海汤臣集团有限公司,3,84户
20191030,徐汇,衡山路,吴兴公寓,99986元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016072/,1998年建成 ,板楼,1.2元/平米/月,上海高建物业有限,上海爱建股份有限公司,1,91户
20191030,徐汇,衡山路,阿麦伦公寓,122040元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017684/,1949年建成 ,板楼,0.6元/平米/月,天平,昔阳县安逸房地产开发有限公司,1,22户
20191030,徐汇,衡山路,岳阳路200弄,暂无,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009928/,1999年建成 ,板楼,0.9元/平米/月,上海永平置业有限,上海富盛经济开发区开发有限公司,29,213户
20191030,徐汇,衡山路,华绮公寓,93217元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017923/,1991年建成 ,塔楼,1.2元/平米/月,上海华绮物业管理有限责任,上海徐房(集团)有限公司,1,110户
20191030,徐汇,衡山路,永福路121号,暂无,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008987/,2005年建成 ,平房,4元/平米/月,新纪, 合肥万科瑞翔地产有限公司,1,2户
20191030,徐汇,衡山路,吴兴路26号,122425元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008376/,1981年建成 ,板楼,0.8元/平米/月,上海永平置业有限,中吴置业（集团）,1,17户
20191030,徐汇,衡山路,长乐路699号,104910元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007613/,1977年建成 ,板楼,0.5元/平米/月,永福,上海徐房（集团）有限公司,1,12户
20191030,徐汇,衡山路,华亭路85号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010348/,1936年建成 ,板楼,3元/平米/月,万科,万科房产,2,2户
20191030,徐汇,衡山路,武康路272号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009537/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,徐汇,衡山路,兴国路155号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007121/,1979年建成 ,板楼,0.6元/平米/月,永福,物业和度娘都不知道开发商名称,1,16户
20191030,徐汇,衡山路,湖南路20弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009135/,1930年建成 ,板楼,4.5元/平米/月,上海市永福物业有限,上海徐房集团有限公司,10,53户
