20191030,奉贤,奉城,洪庙社区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956165/,1996年建成 ,板楼,暂无信息,无,暂无信息,3,3户
20191030,奉贤,奉城,褚聚北路2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103568/,1985年建成 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,奉贤,奉城,褚聚街4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018901/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,奉贤,奉城,镇海新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025403452400/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,11户
20191030,奉贤,奉城,奉旺路689弄,11731元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337562/,2013年建成 ,板楼,暂无信息,暂无信息,暂无信息,26,260户
20191030,奉贤,奉城,兰博路3072号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020034110373145/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,新奉公路2690号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5017003500810606/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,瓦洪公路3129号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736497377/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,瓦洪公路3199号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736497378/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,头桥东路432号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736497365/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,唐城街37号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635237248755/,1998年建成 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,奉贤,奉城,唐城街55号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635237248781/,1998年建成 ,未知,暂无信息,暂无信息,暂无信息,1,4户
