title,price,address,size,fangxiang,format,type,time,tag
整租·绿园十二村1室1厅南/北,4500 元/月,长宁-西郊-绿园十二村,46㎡,南北,1室1厅1卫,贝壳优选,7天前维护,随时看房
整租·花苑茶花园1室0厅南,4100 元/月,徐汇-康健-花苑茶花园,34㎡,南,1室0厅1卫,贝壳优选,7天前维护,随时看房
整租·虹旭小区2室1厅南,6500 元/月,长宁-虹桥-虹旭小区,53㎡,南,2室1厅1卫,贝壳优选,3天前维护,新上近地铁随时看房
整租·田林十二村1室1厅南,4800 元/月,徐汇-田林-田林十二村,34㎡,南,1室1厅1卫,贝壳优选,1天前维护,新上近地铁精装随时看房
整租·番南小区1室1厅南,4800 元/月,徐汇-徐家汇-番南小区,32㎡,南,1室1厅1卫,贝壳优选,5天前维护,新上近地铁精装随时看房
整租·朗诗未来树3室2厅南,3300 元/月,浦东-祝桥-朗诗未来树,79㎡,南,3室2厅1卫,贝壳优选,5天前维护,新上精装随时看房
整租·田林十三村1室0厅南,4600 元/月,徐汇-田林-田林十三村,30㎡,南,1室0厅1卫,贝壳优选,1天前维护,新上近地铁精装随时看房
整租·长虹公寓2室1厅南,6500 元/月,长宁-仙霞-长虹公寓,65㎡,南,2室1厅1卫,贝壳优选,3天前维护,新上精装随时看房
整租·馨宁公寓1室0厅南,3900 元/月,徐汇-华泾-馨宁公寓,42㎡,南,1室0厅1卫,贝壳优选,7天前维护,随时看房
整租·中虹家园1室1厅南,3500 元/月,浦东-曹路-中虹家园,52㎡,南,1室1厅1卫,贝壳优选,4天前维护,新上随时看房
整租·大木桥路450弄1室0厅南,4990 元/月,徐汇-斜土路-大木桥路450弄,31㎡,南,1室0厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·绿地时代名邸2室2厅南,2650 元/月,青浦-白鹤-绿地时代名邸,84㎡,南,2室2厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·名人花苑2室1厅南,4450 元/月,徐汇-华泾-名人花苑,76㎡,南,2室1厅1卫,贝壳优选,3天前维护,随时看房
整租·西成里1室1厅南,6600 元/月,黄浦-人民广场-西成里,35㎡,南,1室1厅1卫,贝壳优选,3天前维护,近地铁精装随时看房
整租·君悦静安1室1厅南,7080 元/月,静安-曹家渡-君悦静安,49㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·乐山四五村2室1厅南,5900 元/月,徐汇-徐家汇-乐山四五村,48㎡,南,2室1厅1卫,贝壳优选,8天前维护,近地铁随时看房
整租·君悦静安1室1厅南,7280 元/月,静安-曹家渡-君悦静安,55㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·田林六村2室0厅南,4700 元/月,徐汇-田林-田林六村,41㎡,南,2室0厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·双柏小区1室1厅南,2400 元/月,闵行-吴泾-双柏小区,39㎡,南,1室1厅1卫,贝壳优选,1天前维护,随时看房
整租·乐山二村1室1厅南,4999 元/月,徐汇-徐家汇-乐山二村,33㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·昌五小区1室1厅南,3600 元/月,浦东-世博-昌五小区,38㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·金虹苑小区2室1厅南,7000 元/月,长宁-西郊-金虹苑小区,65㎡,南,2室1厅1卫,贝壳优选,7天前维护,精装随时看房
整租·舒乐小区2室1厅南,4500 元/月,徐汇-华东理工-舒乐小区,56㎡,南,2室1厅1卫,贝壳优选,7天前维护,随时看房
整租·新泾七村2室1厅南,5400 元/月,长宁-北新泾-新泾七村,46㎡,南,2室1厅1卫,贝壳优选,1天前维护,近地铁随时看房
整租·杜鹃园2室1厅南,5300 元/月,徐汇-康健-杜鹃园,64㎡,南,2室1厅1卫,贝壳优选,7天前维护,随时看房
整租·虹梅小区1室1厅南,5200 元/月,徐汇-漕河泾-虹梅小区,41㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·君悦静安1室0厅西南,5880 元/月,静安-曹家渡-君悦静安,35㎡,西南,1室0厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·田林三村2室1厅南,5800 元/月,徐汇-田林-田林三村,48㎡,南,2室1厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·长兴坊2室1厅南,5480 元/月,徐汇-康健-长兴坊,55㎡,南,2室1厅1卫,贝壳优选,7天前维护,随时看房
整租·延北小区2室0厅南,5400 元/月,长宁-西郊-延北小区,48㎡,南,2室0厅1卫,贝壳优选,1天前维护,近地铁随时看房
整租·上海师大新村1室0厅南,4300 元/月,徐汇-康健-上海师大新村,35㎡,南,1室0厅1卫,贝壳优选,7天前维护,随时看房
整租·梅陇十一村2室0厅南/北,4550 元/月,徐汇-华东理工-梅陇十一村,51㎡,南北,2室0厅1卫,贝壳优选,7天前维护,随时看房
整租·紫薇园1室1厅南,5200 元/月,徐汇-康健-紫薇园,73㎡,南,1室1厅1卫,贝壳优选,8天前维护,精装随时看房
整租·振兴小区(徐汇)1室1厅南/北,5200 元/月,徐汇-徐家汇-振兴小区(徐汇),25㎡,南北,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·科宁公寓1室1厅南,6500 元/月,长宁-中山公园-科宁公寓,46㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·花苑村玉兰园2室1厅南,5600 元/月,徐汇-康健-花苑村玉兰园,63㎡,南,2室1厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·威宁大楼2室1厅西南,7299 元/月,长宁-仙霞-威宁大楼,75㎡,西南,2室1厅1卫,贝壳优选,今天维护,近地铁精装随时看房
整租·万春小区1室0厅东南,5590 元/月,静安-曹家渡-万春小区,35㎡,东南,1室0厅1卫,贝壳优选,2天前维护,近地铁精装随时看房
整租·梅陇七村2室1厅南/北,4600 元/月,徐汇-华东理工-梅陇七村,62㎡,南北,2室1厅1卫,贝壳优选,7天前维护,随时看房
整租·沂南路54弄1室1厅南,3600 元/月,浦东-南码头-沂南路54弄,30㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·斜土路2200弄1室1厅南,5500 元/月,徐汇-徐家汇-斜土路2200弄,33㎡,南,1室1厅1卫,贝壳优选,6天前维护,新上近地铁精装随时看房
整租·梅陇五村2室1厅南/西,4700 元/月,徐汇-华东理工-梅陇五村,52㎡,南西,2室1厅1卫,贝壳优选,7天前维护,随时看房
整租·绿园四村2室2厅南,6800 元/月,长宁-西郊-绿园四村,89㎡,南,2室2厅1卫,贝壳优选,4天前维护,新上随时看房
整租·新泾五村1室1厅南,5800 元/月,长宁-北新泾-新泾五村,57㎡,南,1室1厅1卫,贝壳优选,4天前维护,新上近地铁精装随时看房
整租·花苑茶花园2室1厅南,5000 元/月,徐汇-康健-花苑茶花园,47㎡,南,2室1厅1卫,贝壳优选,7天前维护,精装随时看房
整租·凌云新村2室1厅南,4700 元/月,徐汇-华东理工-凌云新村,66㎡,南,2室1厅1卫,贝壳优选,5天前维护,随时看房
整租·园南二村2室1厅南,4480 元/月,徐汇-植物园-园南二村,58㎡,南,2室1厅1卫,贝壳优选,2天前维护,随时看房
整租·虹霞小区1室1厅南,5200 元/月,长宁-仙霞-虹霞小区,36㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·万春小区1室0厅南,5490 元/月,静安-曹家渡-万春小区,34㎡,南,1室0厅1卫,贝壳优选,2天前维护,近地铁随时看房
整租·宝地新品居2室2厅南,10500 元/月,长宁-天山-宝地新品居,87㎡,南,2室2厅1卫,贝壳优选,今天维护,新上近地铁精装随时看房
整租·宜达新居2室1厅南/北,3700 元/月,青浦-夏阳-宜达新居,61㎡,南北,2室1厅1卫,贝壳优选,5天前维护,新上近地铁精装随时看房
整租·静安晶华园2室1厅南,9380 元/月,静安-江宁路-静安晶华园,72㎡,南,2室1厅1卫,贝壳优选,1天前维护,新上近地铁精装随时看房
整租·黄山始信苑1室1厅南,4200 元/月,浦东-金杨-黄山始信苑,52㎡,南,1室1厅1卫,贝壳优选,5天前维护,新上近地铁精装随时看房
整租·博山小区1室1厅南,4200 元/月,浦东-洋泾-博山小区,42㎡,南,1室1厅1卫,贝壳优选,4天前维护,新上近地铁随时看房
整租·华狮国际公寓1室1厅南,6999 元/月,徐汇-徐家汇-华狮国际公寓,48㎡,南,1室1厅1卫,贝壳优选,5天前维护,近地铁精装随时看房
整租·龙吴路5599弄2室1厅南,3200 元/月,闵行-吴泾-龙吴路5599弄,80㎡,南,2室1厅1卫,贝壳优选,7天前维护,随时看房
整租·绿梅一村1室1厅南,3350 元/月,闵行-莘庄-绿梅一村,30㎡,南,1室1厅1卫,贝壳优选,7天前维护,精装随时看房
整租·新华小区1室1厅南,2800 元/月,闵行-老闵行-新华小区,42㎡,南,1室1厅1卫,贝壳优选,今天维护,近地铁随时看房
整租·马克思公寓1室1厅西北,11380 元/月,静安-南京西路-马克思公寓,66㎡,西北,1室1厅1卫,贝壳优选,今天维护,近地铁精装随时看房
整租·航天新苑2室2厅南,7500 元/月,徐汇-漕河泾-航天新苑,71㎡,南,2室2厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·三湘青年2室1厅南,3000 元/月,松江-泗泾-三湘青年,46㎡,南,2室1厅1卫,贝壳优选,今天维护,近地铁随时看房
整租·上南十二村1室0厅南,4200 元/月,浦东-世博-上南十二村,37㎡,南,1室0厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·东江小区1室0厅南,2800 元/月,闵行-老闵行-东江小区,30㎡,南,1室0厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·海丽花园3室2厅南,11900 元/月,黄浦-打浦桥-海丽花园,116㎡,南,3室2厅2卫,贝壳优选,今天维护,近地铁精装双卫生间随时看房
整租·荣乐小区1室1厅南,2100 元/月,松江-松江老城-荣乐小区,39㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·钦州花苑2室1厅南,6800 元/月,徐汇-田林-钦州花苑,87㎡,南,2室1厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·电影华苑1室2厅南,8480 元/月,徐汇-徐家汇-电影华苑,66㎡,南,1室2厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·茶陵路159弄2室1厅南,6800 元/月,徐汇-斜土路-茶陵路159弄,53㎡,南,2室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·大木桥路450弄2室1厅东/东南,6600 元/月,徐汇-斜土路-大木桥路450弄,61㎡,东东南,2室1厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·金领国际(公寓)2室2厅南/北,5300 元/月,浦东-曹路-金领国际(公寓),90㎡,南北,2室2厅1卫,贝壳优选,7天前维护,精装随时看房
整租·金杨新村四街坊1室1厅南,4000 元/月,浦东-金杨-金杨新村四街坊,44㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·上南三村1室0厅南,4000 元/月,浦东-世博-上南三村,35㎡,南,1室0厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·上南三村1室1厅南,4000 元/月,浦东-世博-上南三村,30㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·天乐新村2室1厅南,2700 元/月,松江-松江新城-天乐新村,63㎡,南,2室1厅1卫,贝壳优选,7天前维护,随时看房
整租·金杨新村十街坊2室1厅南,4300 元/月,浦东-金杨-金杨新村十街坊,54㎡,南,2室1厅1卫,贝壳优选,今天维护,随时看房
