20191030,杨浦,中原,开鲁路382弄,50916元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004791/,1987年建成 ,板楼,0.25元/平米/月,上海卫百辛(集团)有限,绿城集团,68,1218户
20191030,杨浦,中原,长海一村,49387元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013258/,1994年建成 ,板楼,0.78元/平米/月,长海,上海长海房地产发展有限公司,59,1060户
20191030,杨浦,中原,国和路610弄,47849元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004563/,1995年建成 ,板楼,0.85元/平米/月,国和,上海五角场房产,24,419户
20191030,杨浦,中原,开鲁六村,48536元/m2,10套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012915/,1989年建成 ,板楼,0.65元/平米/月,上海凯晨物业管理有限,上海建工房产有限公司,39,920户
20191030,杨浦,中原,翔殷心秀,62942元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013593/,2004年建成 ,板楼,1.5元/平米/月,上海陆家嘴物业管理有限,上海天喜房地产开发有限公司,9,196户
20191030,杨浦,中原,中原纪联小区,46556元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008267/,1996年建成 ,板楼,0.85元/平米/月,上海纪联物业管理有限,上海纪联房地产开发经营有限公司,40,867户
20191030,杨浦,中原,工农二村,49887元/m2,24套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013839/,1989年建成 ,板楼,0.5元/平米/月,上海江城实业总,中房上海房地产（集团）有限公司,68,1862户
20191030,杨浦,中原,工农四村星源花苑,60986元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011102209725/,1999年建成 ,板楼,1元/平米/月,良城,中星集团,34,400户
20191030,杨浦,中原,世和园,65861元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014753/,2003年建成 ,板楼,1.36元/平米/月,上海凯晨物业管理有限,上海晟世房地产开发有限公司,35,1319户
20191030,杨浦,中原,世界路65弄,51962元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019656/,2004年建成 ,板楼,0.8元/平米/月,暂无信息,上海新龙开发有限公司,13,141户
20191030,杨浦,中原,殷行路310弄,48288元/m2,12套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004796/,1980年建成 ,板楼,0.4元/平米/月,大华集团上海物业管理有限,上海中房置业股份有限公司,64,1029户
20191030,杨浦,中原,东方名城,65394元/m2,13套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017596/,2003年建成 ,板楼,1.5元/平米/月,上海方达物业经营,上海环源房地产开发有限公司,63,1046户
20191030,杨浦,中原,国和路611弄,51703元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008234/,1994年建成 ,板楼,0.8元/平米/月,国和,上海五角场房产,61,810户
20191030,杨浦,中原,盛世豪园(二期),86431元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001564/,2014年建成 ,板楼,5.1至6元/平米/月,上海安邸物业管理有限,上海军华置业有限公司,22,998户
20191030,杨浦,中原,中原路99弄,51741元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011102209762/,1990年建成 ,板楼,0.6元/平米/月,君晟,上海建中房地产开发经营有限公司,44,1129户
20191030,杨浦,中原,民星路408弄,51564元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002055/,1987年建成 ,板楼,0.5元/平米/月,上海,上海中元房产有限公司,19,390户
20191030,杨浦,中原,民欣苑,53831元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014857/,1998年建成 ,板楼,0.8元/平米/月,上海民心物业有限,上海中元房地产开发有限公司,24,397户
20191030,杨浦,中原,开鲁一村,49818元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012293/,1991年建成 ,板楼,0.5元/平米/月,上海君晟物业有限,上海市建二司,56,1392户
