20191030,杨浦,五角场,正文花园(二期),62766元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005488/,2003年建成 ,板楼,1.5元/平米/月,展大,上海正文房地产开发有限公司,40,774户
20191030,杨浦,五角场,仁德路67弄,57025元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020359/,1990年建成 ,板楼,0.8元/平米/月,自主,暂无信息,5,97户
20191030,杨浦,五角场,江湾翰林,87123元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011595/,2013年建成 ,板楼,5.6元/平米/月,瑞安物业管理有限,上海瑞安房地产发展有限公司,20,310户
20191030,杨浦,五角场,书香银苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002218/,2009年建成 ,板楼,1.6元/平米/月,上海寅海辰物业管理有限,上海银建置业有限公司,12,188户
20191030,杨浦,五角场,东方锦园,66094元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013992/,2006年建成 ,板楼,0.8元/平米/月,上海东方物业有限,上海申华房地产开发有限公司,26,355户
20191030,杨浦,五角场,南茶园,62577元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015853/,1995年建成 ,板楼,0.5元/平米/月,上海凯晨物业管理有限,上海五角场房地产责任有限公司,55,852户
20191030,杨浦,五角场,文化花园清华苑,63039元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011332/,2000年建成 ,板楼,1.7元/平米/月,上海文化花园物业管理有限,上海新延房地产开发有限公司,41,696户
20191030,杨浦,五角场,华丰大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010432/,1997年建成 ,塔楼,0.6元/平米/月,上海沪裕房地产有限,上海沪裕房地产有限公司,1,136户
20191030,杨浦,五角场,国定路601弄,62747元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001372/,1984年建成 ,板楼,0.8元/平米/月,上海复旦大学物业管理,暂无信息,12,365户
20191030,杨浦,五角场,益华小区,61144元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010978/,1996年建成 ,板楼,0.85元/平米/月,上海凯晨物业管理有限,上海凯晨房地产开发有限公司,21,354户
20191030,杨浦,五角场,政民花苑,60845元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014820/,1993年建成 ,板楼,0.48元/平米/月,银星,上海五角场房产开发有限公司,8,175户
20191030,杨浦,五角场,政通路100弄,60898元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008246/,1997年建成 ,板楼,0.48元/平米/月,银星,上海五角场房产开发有限公司,29,433户
20191030,杨浦,五角场,四平路2065弄,62434元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004562/,1980年建成 ,板楼,0.5元/平米/月,上海五角场物业管理有限,上海卫百辛房地产经纪有限公司,23,563户
20191030,杨浦,五角场,政立路545弄,50434元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008271/,1994年建成 ,板楼,1.6元/平米/月,上海乾强物业管理有限,江湾房产公司,53,583户
20191030,杨浦,五角场,仁德苑,63042元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003533/,2001年建成 ,板楼,1.6元/平米/月,上海文化花园物业管理有限,上海新延房地产开发有限公司,18,408户
20191030,杨浦,五角场,明和苑,79164元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012707/,2003年建成 ,板楼,1.2元/平米/月,上服,上海明和房地产开发有限公司,18,405户
20191030,杨浦,五角场,乾阳佳园,62527元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012487/,2004年建成 ,板楼,1.3元/平米/月,上海文化花园物业管理有限,上海乾扬房地产有限公司,12,232户
20191030,杨浦,五角场,复旦教师公寓,60672元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014483/,1986年建成 ,板楼,0.8元/平米/月,上海五角场物业管理有限,申城,20,324户
