20191030,嘉定,菊园新区,徐行大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000293/,2000年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,63户
20191030,嘉定,菊园新区,清河路66乙号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337869/,1978年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,30户
20191030,嘉定,菊园新区,西大街124号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891294/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,嘉定,菊园新区,慈竹路1087弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389388383219/,2017年建成 ,板楼,暂无信息,上海远洋,上海市人民政府动迁组,6,472户
20191030,嘉定,菊园新区,柳湖路481弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103857/,2016年建成 ,板楼,暂无信息,暂无信息,暂无信息,12,728户
20191030,嘉定,菊园新区,胜竹路1760弄3号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766906278/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,嘉定,菊园新区,胜竹路1780弄2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766906290/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,嘉定,菊园新区,秋竹路629号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025235671055/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,永靖路763号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766905980/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,慈竹路175弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337019/,2017年建成 ,板楼,暂无信息,暂无信息,上海市人民政府动迁组,8,720户
20191030,嘉定,菊园新区,柳梁路8号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350908/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,嘉定,菊园新区,城北路218号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635237248787/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,553户
20191030,嘉定,菊园新区,永靖路761号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766905979/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,胜竹路1760弄35号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766906275/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,胜竹路1760弄12号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766906266/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,胜竹路1760弄9号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766906282/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,平城路2273号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675942266/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,平城路788号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675942270/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,嘉定,菊园新区,永靖路805号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766905985/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,嘉定,菊园新区,胜竹路1760弄15号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766906268/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,红石路618号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169326/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,柳梁路155弄4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015954285727381/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,清河路391弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389371080699/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,32户
20191030,嘉定,菊园新区,永靖路801号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766905983/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,胜竹路1774号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766906287/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,清河路403号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337822/,1990年建成 ,板楼,暂无信息,暂无信息,上海西上海上食科技发展有限公司,1,22户
20191030,嘉定,菊园新区,西大街140号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014963740544862/,2000年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,36户
20191030,嘉定,菊园新区,方泰西街891-4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047409/,1946年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,胜竹路1780弄34号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016481611712614/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,嘉唐公路500号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970443682552/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,西大街130号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011293397889348/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,18户
20191030,嘉定,菊园新区,永靖路763号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766905980/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,西大街124号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891294/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,嘉定,菊园新区,慈竹路1087弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389388383219/,2017年建成 ,板楼,暂无信息,上海远洋,上海市人民政府动迁组,6,472户
20191030,嘉定,菊园新区,慈竹路175弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337019/,2017年建成 ,板楼,暂无信息,暂无信息,上海市人民政府动迁组,8,720户
20191030,嘉定,菊园新区,柳湖路481弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103857/,2016年建成 ,板楼,暂无信息,暂无信息,暂无信息,12,728户
20191030,嘉定,菊园新区,秋竹路629号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025235671055/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,胜竹路1780弄2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766906290/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,嘉定,菊园新区,柳梁路155弄3号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015955005025691/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,菊园新区,胜竹路1760弄3号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766906278/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
