20191030,嘉定,安亭,尚都国际酒店公寓,17259元/m2,16套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003569/,1998年建成 ,塔楼/板楼,3.5元/平米/月,铂丽,上海云江置业有限公司,5,2043户
20191030,嘉定,安亭,澳丽映象,28651元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002792/,2007年建成 ,板楼,1.65元/平米/月,港联,上海安亭澳丽房产开发有限公司,49,982户
20191030,嘉定,安亭,安亭新镇风苑,29042元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011549/,2004年建成 ,板楼,2.8元/平米/月,上海国际汽车城物业管理有限,上海国际汽车城置业有限公司,59,458户
20191030,嘉定,安亭,紫荆三村,23851元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001526/,1999年建成 ,板楼,0.45元/平米/月,上海众达物业有限,上海新申房产建设有限公司,41,464户
20191030,嘉定,安亭,安亭新镇赋苑,26651元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016327/,2005年建成 ,板楼,2.8元/平米/月,上海国际汽车城物业管理有限,上海国际汽车城产业发展有限公司,39,237户
20191030,嘉定,安亭,承安翡翠公馆,32065元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020495/,2011年建成 ,板楼,1.88元/平米/月,承庆,上海宏立房地产发展有限公司,8,394户
20191030,嘉定,安亭,万立城,31029元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003038/,2016年建成 ,板楼,暂无信息,上海百联物业管理有限,上海瑞立佳业房地产开发有限公司,20,1513户
20191030,嘉定,安亭,底特律财富天地,18676元/m2,28套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009061/,2011年建成 ,塔楼/板楼,2.5元/平米/月,上海海和物业发展有限,上海世源置业有限公司,2,1080户
20191030,嘉定,安亭,博泰新苑,25015元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020504/,2003年建成 ,板楼,1.15元/平米/月,佳通,上海博泰房地产发展有限公司,40,562户
20191030,嘉定,安亭,协通公寓,23244元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002397/,2004年建成 ,板楼,1.15元/平米/月,舜苑华,上海协通房产责任有限公司,32,443户
20191030,嘉定,安亭,欧韵艺墅(别墅),37199元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004074/,2007年建成 ,板楼,2.3元/平米/月,润紫,上海紫翔房地产开发有限公司,128,128户
20191030,嘉定,安亭,魏玛原墅(公寓),30386元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005020/,2009年建成 ,板楼,3.5元/平米/月,上海国际汽车城物业管理有限,上海汽车集团,6,124户
20191030,嘉定,安亭,旭辉铂悦西郊,42990元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208866/,2012年建成 ,板楼,4.5至6元/平米/月,上海永生物业管理有限,旭辉集团,197,197户
20191030,嘉定,安亭,博泰景苑,26716元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013255/,2005年建成 ,板楼,0.8元/平米/月,上海博泰房地产发展有限,上海博泰房地产发展有限公司,37,531户
20191030,嘉定,安亭,沁富佳苑,26025元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012812/,2005年建成 ,板楼,0.6元/平米/月,无,上海新申房产建设有限公司,167,2068户
20191030,嘉定,安亭,沁乐佳苑,26208元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102209816/,2007年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,49,981户
20191030,嘉定,安亭,安亭老街916号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292649/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,安亭,宝安公路370弄19号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292983/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,安亭,墨玉路105号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007120/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,安亭,桂圆别墅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013027/,暂无信息 ,板楼,0.8元/平米/月,暂无信息,暂无信息,3,3户
20191030,嘉定,安亭,墨玉路158号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014625418785669/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,安亭,博园路7134号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024655564754/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,安亭,博园路7126号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024654515388/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,安亭,博园路7154号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024654512663/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,安亭,塔山路443号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024657658091/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,安亭,塔山路463号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024656607338/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,安亭,安驰路570号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292568/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,安亭,安诚路205号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292564/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,安亭,塔山路461号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024658705639/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,安亭,新源路163号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066346/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,安亭,新源路328弄6号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066351/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
