20191030,嘉定,嘉定老城,金地格林世界(春岸城),29754元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017978/,2004年建成 ,板楼,1.25至2.6元/平米/月,金地,金地集团&嘉宝集团,103,1007户
20191030,嘉定,嘉定老城,南苑十村,23638元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012827/,1999年建成 ,板楼,0.7元/平米/月,叶城,叶城地产,70,794户
20191030,嘉定,嘉定老城,银杏小区,26254元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000354/,1990年建成 ,板楼,0.45元/平米/月,上海万涓物业有限, 上海嘉定城市建设投资有限公司,33,606户
20191030,嘉定,嘉定老城,怡景花园,25414元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010591/,1993年建成 ,板楼,0.45元/平米/月,上海新城物业有限,上海中星（集团）有限公司,26,334户
20191030,嘉定,嘉定老城,南苑九村,25126元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001643/,1997年建成 ,板楼,0.6元/平米/月,叶城,市建,35,420户
20191030,嘉定,嘉定老城,梅园路67弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956346/,1998年建成 ,板楼,暂无信息,永乐物业，仙霞,德丰地产投资中博地产德丰地产投资中博地产,3,36户
20191030,嘉定,嘉定老城,叶城五街坊,23329元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010434/,2002年建成 ,板楼,1.1元/平米/月,上海禾和物业管理有限,嘉定房地产有限公司,92,1058户
20191030,嘉定,嘉定老城,叶城三街坊,26675元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003640/,2002年建成 ,板楼,0.6元/平米/月,上海禾和物业管理有限,上海叶城房地产开发有限公司,95,1140户
20191030,嘉定,嘉定老城,浦发香舍(公寓),30062元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003266/,2008年建成 ,板楼,1.85元/平米/月,同进,上海盛森置业发展有限公司,30,707户
20191030,嘉定,嘉定老城,罗宾森广场,13253元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012564/,2007年建成 ,板楼,暂无信息,上海银顶峰物业管理有限,上海顶峰房地产开发有限公司,1,141户
20191030,嘉定,嘉定老城,六一小区,31158元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013781/,1961年建成 ,板楼,0.8至1.4元/平米/月,嘉城,南京万家置业发展有限公司,25,533户
20191030,嘉定,嘉定老城,嘉丰佳苑,25359元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013529/,2003年建成 ,板楼,1.25元/平米/月,上海广厦物业管理有限,上海嘉丰西区置业有限公司,52,696户
20191030,嘉定,嘉定老城,清河路177号,26370元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210075/,1981年建成 ,板楼,暂无信息,暂无信息,海正集团潍坊宜海置业有限公司,1,35户
20191030,嘉定,嘉定老城,南苑新世纪公寓,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012362/,2000年建成 ,板楼,0.45元/平米/月,叶城,上海军区,43,542户
20191030,嘉定,嘉定老城,金沙小区,28753元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011373/,1995年建成 ,板楼,0.5至0.9元/平米/月,上海万涓物业有限,上海金丰投资股份有限公司,56,728户
20191030,嘉定,嘉定老城,南苑八村,25716元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011149/,1996年建成 ,板楼,0.45元/平米/月,南苑,上海中建房产(集团)有限公司,66,792户
20191030,嘉定,嘉定老城,绿洲丰怡园,29717元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000775/,2015年建成 ,板楼,暂无信息,锦江物业，锦日,上海市人民政府动迁组,24,1364户
20191030,嘉定,嘉定老城,南北周,31132元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000176/,2009年建成 ,板楼,1至2元/平米/月,暂无信息,上海嘉兰房地产发展有限公司,25,1098户
20191030,嘉定,嘉定老城,沪宜公路3668弄,28171元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019410/,1994年建成 ,板楼,暂无信息,永乐物业，仙霞,上海市人民政府动迁组,15,192户
20191030,嘉定,嘉定老城,清河路62号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319348/,1978年建成 ,板楼,暂无信息,海影,南京万家置业发展有限公司,1,24户
