20191030,宝山,大场镇,沪太路43号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350462/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,大场镇,场中路3685号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475925545/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,大场镇,南大路16弄17号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926048/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,大场镇,界华路100弄114-126号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970554044607/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,大场镇,场中路3987号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475925546/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,大场镇,文渊楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210003/,暂无信息 ,未知,暂无信息,上海澄兴动漫产业发展有限,上海澄兴动漫产业发展有限公司,1,66户
20191030,宝山,大场镇,乾皓苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370023/,暂无信息 ,板楼,1.2元/平米/月,上海乾溪物业管理有限,暂无信息,26,1040户
20191030,宝山,大场镇,南大路20弄,34007元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019470/,1979年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,10,184户
20191030,宝山,大场镇,南大路18弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020487/,1979年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,6,128户
20191030,宝山,大场镇,南大路406弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007439/,1995年建成 ,板楼,0.95元/平米/月,上海新寓物业管理有限,北辰集团,12,198户
20191030,宝山,大场镇,洛中新村,35253元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019649/,1979年建成 ,板楼,暂无信息,暂无信息,无,12,228户
20191030,宝山,大场镇,中食新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001584/,1972年建成 ,板楼,暂无信息,上海宝房(集团)通河物业管理有限,上海宝房（集团）有限公司,8,188户
