20191030,宝山,罗店,远洋7号酒店式公寓,21364元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057610/,2013年建成 ,塔楼,2.5元/平米/月,暂无信息,远洋地产,1,192户
20191030,宝山,罗店,阳光城花满墅,35576元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004006/,2015年建成 ,板楼,4元/平米/月,阳光城,上海亚特隆房地产开发有限公司,79,165户
20191030,宝山,罗店,祁南二村,27538元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011615/,1992年建成 ,板楼,0.5元/平米/月,上海罗店物业管理有限,祁红开发有限公司,77,945户
20191030,宝山,罗店,富秀苑,31247元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000935/,2004年建成 ,板楼,1.2元/平米/月,大华,上海罗南房地产有限公司,22,254户
20191030,宝山,罗店,正荣国领(别墅),42812元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018541/,2016年建成 ,板楼,4元/平米/月,正荣物业管理有限,正荣御园（上海）置业发展有限公司,277,360户
20191030,宝山,罗店,正荣国领(公寓),39325元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018539/,2016年建成 ,板楼,4元/平米/月,暂无信息,暂无信息,334,319户
20191030,宝山,罗店,富长苑,31227元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001811/,2009年建成 ,板楼,0.65元/平米/月,信海,上海罗南房地产有限公司,16,288户
20191030,宝山,罗店,南东路19号,26915元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020583/,1995年建成 ,板楼,0.8元/平米/月,罗南,上海罗南房地产有限公司,1,24户
20191030,宝山,罗店,富泰苑,33765元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018728/,2007年建成 ,板楼,0.4元/平米/月,无,上海罗南房地产有限公司,14,166户
20191030,宝山,罗店,罗盛苑,27176元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001242/,2011年建成 ,板楼,1.2元/平米/月,上海罗店物业管理有限,上海金罗店开发有限公司,50,568户
20191030,宝山,罗店,四方花苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010017/,2001年建成 ,板楼,1.6元/平米/月,上海俊杰物业管理有限,上海俊杰实业有限公司,11,38户
20191030,宝山,罗店,市一路158号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956180/,1990年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,15户
20191030,宝山,罗店,金星家园(宝山),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012035779472584/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,31,306户
20191030,宝山,罗店,美艾路228-230号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453670/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,罗芬路1320号-15,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5017682271865594/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
