20191030,静安,西藏北路,圣和圣广场(公寓),90901元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016568/,2008年建成 ,塔楼/塔板结合,2.25元/平米/月,上海招商局物业管理有限,上海圣和圣置业有限公司,3,1521户
20191030,静安,西藏北路,圣和圣广场丽晶馆,47876元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002223/,2008年建成 ,塔楼,6元/平米/月,暂无信息,城房集团,1,241户
20191030,静安,西藏北路,万豪公寓,63163元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012567/,2002年建成 ,塔楼,1.7元/平米/月,圣利,上海万豪置业有限公司,1,102户
20191030,静安,西藏北路,和颐苑,56879元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017402/,1999年建成 ,板楼,0.85元/平米/月,上海凯源物业管理有限,上海宝年房地产开发有限公司,9,144户
20191030,静安,西藏北路,局西村,64142元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002325/,1975年建成 ,板楼,0.6元/平米/月,上海锋玖物业有限,铁路局,3,87户
20191030,静安,西藏北路,海联公寓,72123元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018155/,1990年建成 ,塔楼/板楼,1.8元/平米/月,上海新新物业管理有限,景程开发有限公司,3,875户
20191030,静安,西藏北路,宝山路499弄,62553元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002870/,1974年建成 ,板楼,0.6元/平米/月,星空房地产开发有限,星空房地产开发有限公司,24,659户
20191030,静安,西藏北路,华侨城苏河湾(别墅),126932元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005084/,2013年建成 ,板楼,12.8元/平米/月,华侨城物业管理有限,华侨城(上海)置地有限公司,17,17户
20191030,静安,西藏北路,蒙特利名都城,82790元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009411/,2007年建成 ,板楼,2.1元/平米/月,上海泰宇物业管理有限,上海泰宇房地产(集团)有限公司,6,490户
20191030,静安,西藏北路,光华坊,71774元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015840/,1989年建成 ,板楼,0.85元/平米/月,上海不夜城全兴物业管理有限,广华开发有限公司,33,707户
