20191030,静安,大宁,崇文园,96191元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015542/,2004年建成 ,板楼,1.7元/平米/月,上海北杰旺房地产有限,上海北杰旺房地产有限公司,16,440户
20191030,静安,大宁,大宁新村,64751元/m2,13套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012161/,1980年建成 ,板楼,0.8元/平米/月,上海申华物业有限,上海申华房地产开发有限公司,42,928户
20191030,静安,大宁,上大东村,58285元/m2,13套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002709/,1987年建成 ,板楼,0.64元/平米/月,银座久信,上海睿涛房地产开发有限公司,37,796户
20191030,静安,大宁,锦佳苑,70797元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016475/,1997年建成 ,塔楼/板楼,0.8至1.2元/平米/月,上海静安置业物业管理有限,上海锦城房地产公司,41,583户
20191030,静安,大宁,恒源大楼,61549元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016917/,2003年建成 ,塔楼,2.2元/平米/月,上海景鸿物业管理有限,上海兴谊房地产有限公司,1,112户
20191030,静安,大宁,和源祥邸珑庭,81204元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002723/,2011年建成 ,板楼,2元/平米/月,上海北方物业管理有限,上海北方城市发展投资有限公司,18,356户
20191030,静安,大宁,佳宁花园,63811元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015739/,2002年建成 ,板楼,1.43元/平米/月,上海建宁物业管理有限,上海佳鑫房地产开发经营有限公司,32,760户
20191030,静安,大宁,中山北路805弄,64684元/m2,10套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006470/,1982年建成 ,板楼/平房,0.8元/平米/月,上海剑航实业有限,上海剑航实业有限公司,34,816户
20191030,静安,大宁,广中西路818弄,61270元/m2,10套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006437/,1993年建成 ,板楼,0.4元/平米/月,自主,政府安置房,22,492户
20191030,静安,大宁,粤秀苑,63805元/m2,17套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012959/,1996年建成 ,板楼,1.1元/平米/月,上海海城物业有限,粤秀房产开发有限公司,37,668户
20191030,静安,大宁,普善新苑,56802元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017971/,1995年建成 ,塔楼,0.99至1.2元/平米/月,上海欣悦物业管理有限,欣悦房产开发有限公司,4,574户
20191030,静安,大宁,灵石路896弄,53821元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008178/,1993年建成 ,板楼,0.65元/平米/月,秋虹,大宁房地产开发有限公司,22,380户
20191030,静安,大宁,老沪太路250弄,65924元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003286/,1985年建成 ,板楼,0.45元/平米/月,老沪太,上海城投置业管理有限公司,11,275户
20191030,静安,大宁,四方小区,58714元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005321/,1959年建成 ,板楼,0.56元/平米/月,恒联,大宁房地产开发有限公司,16,397户
20191030,静安,大宁,宁泰馨苑,69251元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013870/,2003年建成 ,板楼,1.55元/平米/月,上海百联物业管理有限,上海环龙房地产开发经营公司,15,569户
20191030,静安,大宁,大宁瑞仕花园,91838元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003997/,2013年建成 ,板楼,2.9元/平米/月,上置,上海城铭置业有限公司,27,796户
20191030,静安,大宁,静安慕舍,85333元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5012835642159448/,2019年建成 ,塔楼/板楼,5元/平米/月,上海家必安物业管理有限,上海东北明园实业发展有限公司,3,397户
20191030,静安,大宁,利丰苑,65660元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012942/,1996年建成 ,板楼,0.6至0.8元/平米/月,上海佳鑫物业管理有限,上海佳鑫房地产开发经营有限公司,47,593户
20191030,静安,大宁,延长小区(闸北),78486元/m2,18套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008702/,1980年建成 ,板楼,0.32至0.8元/平米/月,上海共贺物业管理有限,维斯特开发有限公司,89,2050户
20191030,静安,大宁,惠龙公寓,69444元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011551/,2000年建成 ,板楼,1.3元/平米/月,上海盛源物业有限,上海惠龙房地产开发经营公司,6,224户
20191030,静安,大宁,金纺小区,57292元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013747/,1996年建成 ,塔楼/板楼,1元/平米/月,上海鹰征物业发展有限,上海金纺房地产开发有限公司,31,773户
20191030,静安,大宁,洛川中路901弄,66749元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006241/,1985年建成 ,板楼,0.8元/平米/月,上海华萌物业管理有限,上海龙盟房地产开发有限公司,17,330户
20191030,静安,大宁,绿苑(闸北),61249元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003101/,1996年建成 ,板楼,0.6元/平米/月,绿晖,上海绿银置地有限公司,29,343户
20191030,静安,大宁,柳营路1025弄,67378元/m2,16套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011325/,1983年建成 ,板楼,0.7至0.8元/平米/月,上海共贺物业管理有限,流萤房地产开发有限公司,68,1538户
20191030,静安,大宁,谈家桥路80弄,59706元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007149/,1986年建成 ,板楼,0.85元/平米/月,上海北方物业管理有限,上海北方城市发展投资有限公司,15,456户
20191030,静安,大宁,广中苑,58314元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015130/,1999年建成 ,板楼,0.6至1.75元/平米/月,上海繁华物业管理有限,上海大宁绿地开发建设有限公司,60,734户
20191030,静安,大宁,旭阳苑,53637元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014144/,1999年建成 ,板楼,1.12元/平米/月,上海旭阳万欣,上海巍城房地产实业公司,16,204户
20191030,静安,大宁,海珀星晖,90090元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018710/,2016年建成 ,板楼,4.9元/平米/月,狮城怡安（上海）物业管理有限,上海华逸房地产开发经营有限公司,3,108户
20191030,静安,大宁,童家浜小区,77438元/m2,12套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011022/,1983年建成 ,板楼,0.8元/平米/月,上海大家物业管理有限,上海城投置地有限公司,25,551户
20191030,静安,大宁,金荣公寓,78833元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003089/,2005年建成 ,板楼,1.8元/平米/月,上海冬迩物业管理有限,上海绿珠置业有限公司,3,97户
20191030,静安,大宁,枫景苑,75619元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009826/,2005年建成 ,板楼,0.95元/平米/月,天韵物业发展,上海东浩凯成置业发展有限公司,7,240户
20191030,静安,大宁,绿园小区,61134元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011178/,1990年建成 ,板楼,0.5元/平米/月,华侬,华侬房产开发有限公司,12,378户
