20191030,静安,彭浦,昌林公寓,45074元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012902/,1996年建成 ,板楼,0.8元/平米/月,上海北方物业管理有限,无,35,408户
20191030,静安,彭浦,瑞和家园,53890元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010942/,2005年建成 ,板楼,0.8元/平米/月,上海城建物业管理有限,上海城建(集团)公司,12,140户
20191030,静安,彭浦,共和新路4555弄,49563元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007935/,1991年建成 ,板楼,0.8元/平米/月,上海通力物业管理有限,彭浦房地产开发有限公司,26,580户
20191030,静安,彭浦,星保花苑,48333元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009086/,1993年建成 ,塔楼/板楼,0.4元/平米/月,上海军盛物业管理有限,军盛房产,4,519户
20191030,静安,彭浦,三泉路332弄,48017元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019153/,1990年建成 ,板楼,0.8元/平米/月,上海北安物业管理有限,北方集团,16,432户
20191030,静安,彭浦,场中小区,49685元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018964/,1995年建成 ,板楼,0.4元/平米/月,上海彭浦物业管理,彭浦房地产开发有限公司,18,392户
20191030,静安,彭浦,康泉小区,49035元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017852/,1993年建成 ,板楼,0.8元/平米/月,上海金光花园,上海三泉置业有限公司,53,1104户
20191030,静安,彭浦,岭南路700弄,49278元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5010022437793983/,1988年建成 ,板楼,0.55元/平米/月,上海北安物业管理有限,北方集团,45,769户
20191030,静安,彭浦,星纪花苑,48542元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017576/,1994年建成 ,塔楼/板楼,0.5元/平米/月,上海繁华物业管理有限,上海中星（集团）有限公司,16,840户
20191030,静安,彭浦,临汾路1244弄,46501元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008536/,1990年建成 ,板楼,0.3至0.8元/平米/月,上海彭浦物业管理,上海彭浦开发有限公司,49,629户
20191030,静安,彭浦,保平小区,50651元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004225/,1990年建成 ,塔楼/板楼,0.8元/平米/月,上海北安物业管理有限,北方集团,16,808户
20191030,静安,彭浦,昌盛苑,48438元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012019/,1994年建成 ,板楼,0.8元/平米/月,上海昌里花园物业发展有限,北方集团,47,667户
20191030,静安,彭浦,临汾小区,54197元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002908/,1987年建成 ,板楼,0.5元/平米/月,上海北安物业管理有限,北方集团,46,723户
20191030,静安,彭浦,恒安小区,47536元/m2,10套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013129/,1987年建成 ,塔楼/板楼,0.7至0.8元/平米/月,上海北安物业管理有限,上海北方企业（集团）有限公司,70,1638户
20191030,静安,彭浦,阳曲小区,46914元/m2,13套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011051/,1987年建成 ,塔楼/板楼,0.8元/平米/月,上海北安物业管理有限,北方集团,101,1970户
20191030,静安,彭浦,象屿大宁悦府,85705元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001588/,2016年建成 ,板楼,3.9至6元/平米/月,上海象屿管理有限,上海象屿投资有限公司,25,971户
20191030,静安,彭浦,闻喜小区,45348元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016468/,1985年建成 ,板楼,0.8元/平米/月,上海北安物业管理有限,彭浦镇政府,58,1436户
