20191030,静安,不夜城,华龙大酒店,27381元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018009/,2004年建成 ,塔楼,暂无信息,暂无信息,暂无信息,2,160户
20191030,静安,不夜城,灵广大厦,54894元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015558/,1997年建成 ,塔楼,0.6元/平米/月,上海久远物业有限,上海久远企业房地产开发公司,2,300户
20191030,静安,不夜城,共和新路970弄,63720元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006456/,1964年建成 ,板楼,0.65元/平米/月,上海凯兴物业管理有限,无,21,756户
20191030,静安,不夜城,共和大厦(公寓),62114元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018253/,2003年建成 ,塔楼,1.75元/平米/月,上海凯兴物业管理有限,上海北方企业（集团）有限公司,1,176户
20191030,静安,不夜城,大统路865号,59915元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370312/,1982年建成 ,板楼,0.5元/平米/月,上海北方物业管理有限,上海海富置业有限公司,2,31户
20191030,静安,不夜城,芷江西路239弄,59823元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002523/,1983年建成 ,板楼,0.9元/平米/月,芷江,上海新苏房地产开发有限公司,4,100户
20191030,静安,不夜城,沪太家具大厦,60934元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001925/,1996年建成 ,塔楼,0.5元/平米/月,佳具,上海海富置业有限公司,1,224户
20191030,静安,不夜城,芷江西路254号,72235元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020299/,1991年建成 ,塔楼,0.5元/平米/月,上海凯兴物业管理有限,暂无信息,1,70户
20191030,静安,不夜城,都荟贤居,56261元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208471/,2011年建成 ,塔楼,11元/平米/月,上海丽港物业管理有限,上海沪欣房地产发展有限公司,1,480户
20191030,静安,不夜城,永兴路973弄,63027元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008453/,1986年建成 ,板楼,0.5元/平米/月,永兴建工,上海海富置业有限公司,13,315户
20191030,静安,不夜城,宝矿洲际商务中心,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002196/,2009年建成 ,未知,暂无信息,上海宝矿钻石物业有限,宝矿国际,1,136户
20191030,静安,不夜城,静安洲际中心,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020033682369110/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,静安,不夜城,恒盛大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208341/,暂无信息 ,未知,暂无信息,暂无信息,城新,1,8户
20191030,静安,不夜城,长安路266号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007074/,1978年建成 ,板楼,暂无信息,新鑫,星空房地产开发有限公司,1,26户
20191030,静安,不夜城,中华新路810号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002188/,1978年建成 ,板楼,暂无信息,嘉辉,上海紫兰房地产有限责任公司,1,20户
20191030,静安,不夜城,天目西路189号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016436/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,静安,不夜城,中华新路725弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002339/,1968年建成 ,塔楼/板楼,0.5元/平米/月,暂无信息,上海东上海联合置业有限公司,24,441户
20191030,静安,不夜城,秣陵路332号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475925913/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
