20191030,松江,泗泾,润江花苑,28787元/m2,44套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014518/,2006年建成 ,塔楼/板楼,0.26元/平米/月,安洁物业管理有限,上海润江置业发展有限公司,200,2947户
20191030,松江,泗泾,保利翡丽公馆,53682元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001172/,2016年建成 ,板楼,2.5至5.2元/平米/月,保利物业管理有限,上海盛禹房地产开发有限公司,39,1502户
20191030,松江,泗泾,兰花清苑,30525元/m2,17套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001342/,2013年建成 ,板楼,1.25至1.45元/平米/月,上海玉星物业管理有限,上海新凯房地产开发有限公司,14,708户
20191030,松江,泗泾,西南名苑,32885元/m2,22套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013128/,2005年建成 ,板楼,0.8元/平米/月,上海国顺物业管理有限,上海国申房地产开发有限公司,83,848户
20191030,松江,泗泾,建发玖珑湾,47828元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019172/,2016年建成 ,板楼,2.68元/平米/月,怡家园物业管理有限,上海兆升房地产开发有限公司,26,735户
20191030,松江,泗泾,泗泾颐景园,32891元/m2,16套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017177/,1998年建成 ,板楼,2.6至2.8元/平米/月,上海颐景园房地产有限,上海颐景园房地产有限公司,545,545户
20191030,松江,泗泾,丽水豪庭,29559元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012195/,2006年建成 ,板楼,1.35元/平米/月,上海申昊物业管理有限,上海大得同置业有限公司,67,1228户
20191030,松江,泗泾,新凯城锦昌苑,32409元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000792/,2011年建成 ,板楼,1.2元/平米/月,上海新凯物业管理,上海新凯房地产开发有限公司,14,741户
20191030,松江,泗泾,法兰西世家(别墅),36614元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000253/,2007年建成 ,板楼,1.7至2.8元/平米/月,上海长城,上海恺岱房地产开发有限公司,307,311户
20191030,松江,泗泾,金地玺湾,65524元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5018066230488852/,2016年建成 ,板楼,3.5至4.5元/平米/月,金地物业服务有限,上海仲骏房地产开发有限公司,334,1655户
20191030,松江,泗泾,江川一村,29240元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010989/,1982年建成 ,板楼,0.3元/平米/月,安洁,上海市松江区泗泾镇人民政府,61,942户
20191030,松江,泗泾,山语原墅,27690元/m2,12套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013562/,2009年建成 ,板楼,2.8元/平米/月,上房物业管理有限,上海仲俊房地产,418,418户
20191030,松江,泗泾,丽茵别墅,40054元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015019/,1999年建成 ,板楼,2.8元/平米/月,上海丽茵物业服务有限,上海利江实业合作公司,161,162户
20191030,松江,泗泾,新城上坤樾山明月,60751元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020020846797452/,暂无信息 ,板楼,暂无信息,暂无信息,上海韵意房地产开发有限公司,85,439户
20191030,松江,泗泾,法兰西世家(公寓),32946元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000384/,2014年建成 ,板楼,2.8元/平米/月,上海长城,绿地集团,39,672户
20191030,松江,泗泾,中海悦府,37046元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000460/,2014年建成 ,板楼,暂无信息,中海物业管理（上海）有限,上海中海海富房地产有限公司 ,289,295户
20191030,松江,泗泾,绿地香缇,41830元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540058040/,2016年建成 ,板楼,3.2元/平米/月,彩生活物业管理,上海云利置业有限公司,27,469户
20191030,松江,泗泾,祥和公寓(松江),33183元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014710/,2002年建成 ,板楼,0.7元/平米/月,上海慎业物业管理有限,上海市松江区泗泾镇人民政府,77,695户
20191030,松江,泗泾,九州世贸,13819元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001903/,2010年建成 ,塔楼/板楼,1.5元/平米/月,暂无信息,上海新九洲房产置业有限公司愚园分公司,40,4482户
20191030,松江,泗泾,古楼新苑,31442元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002106/,2013年建成 ,板楼,1.49元/平米/月,安洁,会源置业,31,1241户
20191030,松江,泗泾,同润圣塔路斯,35375元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015818/,2006年建成 ,板楼,3至4.6元/平米/月,狮城怡安(上海)物业管理有限,上海垄景房地产开发有限公司,243,290户
20191030,松江,泗泾,润和苑,29322元/m2,13套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000175/,2001年建成 ,板楼,1.5元/平米/月,上海青山物业管理有限,上海林立房地产开发有限公司,242,837户
