20191030,松江,松江新城,海立华亭(公寓),35374元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004826/,2006年建成 ,板楼,1.1元/平米/月,上海松开物业管理有限,上海立大房地产开发有限公司,49,453户
20191030,松江,松江新城,上泰绅苑(公寓),39571元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018822/,2010年建成 ,板楼,1.76至2.3元/平米/月,上海捷艾尔物业管理有限,上海上泰绅苑置业有限公司,31,372户
20191030,松江,松江新城,公捷苑,31178元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012633/,1988年建成 ,板楼,0.55元/平米/月,上海新桃园物业管理有限,上海城凯置业有限公司,70,829户
20191030,松江,松江新城,天乐新村,31221元/m2,13套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012358/,1993年建成 ,板楼,0.8元/平米/月,上海松开物业管理有限,上海天乐房地产开发有限公司,114,1596户
20191030,松江,松江新城,开元新都,36786元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014876/,2003年建成 ,板楼,1.12元/平米/月,开元,元旅业集团,124,815户
20191030,松江,松江新城,原野花园,54665元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012497/,2006年建成 ,板楼,2.1元/平米/月,上海科瑞物业有限,上海原野房地产有限公司,236,346户
20191030,松江,松江新城,建设花园,34876元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010428/,2003年建成 ,板楼,1至1.46元/平米/月,上海茸盛物业管理有限,上海泗房物业发展有限公司,190,1604户
20191030,松江,松江新城,红墅1858(公寓),34397元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002487/,2011年建成 ,板楼,1.3元/平米/月,上海奥林匹克物业管理有限,上海安裕置业有限公司,19,278户
20191030,松江,松江新城,东鼎名人府邸(松江),47774元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002395/,2013年建成 ,板楼,2.9元/平米/月,上海东昱物业管理有限,上海东紫房地产发展有限公司,18,904户
20191030,松江,松江新城,月亮河桂园(别墅),45355元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018711/,1990年建成 ,板楼,1.75元/平米/月,新加坡狮城怡安物业管理有限,上海松江房地产开发有限公司,168,168户
20191030,松江,松江新城,安琪花苑(公寓),26539元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003700/,2009年建成 ,板楼,1.45元/平米/月,上海新桃园物业管理有限,上海医建房地产有限公司,19,532户
20191030,松江,松江新城,浪琴水岸花园(公寓),31878元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013883/,2005年建成 ,板楼,0.4元/平米/月,上海陆家嘴骏合物业管理有限,上海刚泰房地产发展有限公司,42,493户
20191030,松江,松江新城,月亮河碧园(公寓),37599元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013922/,2006年建成 ,板楼,1.15元/平米/月,狮城怡安(上海)物业管理有限,上海松江月亮河房地产开发有限公司,13,140户
20191030,松江,松江新城,月亮河桂园(公寓),35301元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013535/,2007年建成 ,板楼,1.15元/平米/月,新加坡怡安物业管理有限,上海松江房地产开发有限公司,37,541户
20191030,松江,松江新城,天虹二村,28508元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002668/,1983年建成 ,板楼,0.32至0.5元/平米/月,上海松开物业管理有限,天集团,35,392户
20191030,松江,松江新城,润峰苑(公寓),34550元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018698/,2005年建成 ,板楼,0.85元/平米/月,上海久远物业管理有限,上海亚润置业有限公司,64,528户
20191030,松江,松江新城,名仕豪庭(公寓),34058元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005022/,2012年建成 ,板楼,1.9元/平米/月,港联,上海方豪房地产开发有限公司,8,322户
20191030,松江,松江新城,英郡别院,48933元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013233/,2009年建成 ,板楼,1.86元/平米/月,上海永南物业管理有限,中成控股集团,348,348户
20191030,松江,松江新城,文景苑,37332元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013969/,2006年建成 ,板楼,1.4元/平米/月,上海新桃园物业管理有限,上海永懋置业有限公司,35,940户
20191030,松江,松江新城,辰弘佳苑,37797元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000473/,2012年建成 ,板楼,1.78元/平米/月,上海捷艾尔物业管理有限,黄浦房产,311,626户
20191030,松江,松江新城,红墅1858(别墅),47609元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002987/,2011年建成 ,板楼,2.3元/平米/月,上海奥林匹克物业管理有限,上海安裕置业有限公司,223,223户
20191030,松江,松江新城,天虹四村,28721元/m2,14套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014362/,1996年建成 ,板楼,0.5元/平米/月,上海茸盛物业管理有限,天虹房地产开发有限公司,58,680户
20191030,松江,松江新城,华亭首府,40468元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206780/,2016年建成 ,板楼,1.5元/平米/月,上海悦华物业管理有限,上海广晟房地产开发有限公司,105,212户
20191030,松江,松江新城,茸平苑,29447元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012909/,2005年建成 ,板楼,1.05元/平米/月,荣平,荣平房地产开发有限公司,59,661户
