20191030,松江,松江大学城,上尚缘,34770元/m2,25套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014840/,2010年建成 ,板楼,2.3元/平米/月,上海怡东物业管理有限,上海中欣长远房地产开发有限公司,94,1342户
20191030,松江,松江大学城,复地香堤苑,38328元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016779/,2005年建成 ,板楼,1.8元/平米/月,上海复瑞物业管理,上海复地智宝房地产开发有限公司,413,413户
20191030,松江,松江大学城,山水景苑,38800元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013195/,2006年建成 ,板楼,0.6元/平米/月,上海新桃源物业管理有限,上海昂立房地产开发有限公司,131,558户
20191030,松江,松江大学城,中星佘山溪语,35578元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003479/,2013年建成 ,板楼,3.5元/平米/月,上海中星集团申城物业有限,上海中星（集团）有限公司,250,445户
20191030,松江,松江大学城,誉品原墅,42071元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001351/,2014年建成 ,板楼,暂无信息,上海圣维仕物业管理有限,上海瀛茸置业有限公司,109,196户
20191030,松江,松江大学城,佘山珑原,43614元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010666/,2012年建成 ,板楼,3.6元/平米/月,上海招商局物业管理有限,上海静园房地产开发有限公司,467,735户
20191030,松江,松江大学城,星辰园(别墅),暂无,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001906/,2005年建成 ,板楼,1.45元/平米/月,上海宝正物业管理有限,上海时理和房产开发经营有限公司,112,115户
20191030,松江,松江大学城,龙湖好望山(别墅),63265元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013055/,2012年建成 ,板楼,3.6元/平米/月,重庆新龙湖物业服务有限,上海恒世房地产有限公司,241,241户
20191030,松江,松江大学城,中展瑞景,31428元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018804/,2015年建成 ,塔楼/板楼,暂无信息,第一太平戴维斯物业顾问（上海）有限,上海欧蒂华置业有限公司,2,710户
20191030,松江,松江大学城,嘉立国际广场,26552元/m2,26套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001960/,2014年建成 ,塔楼,暂无信息,暂无信息,上海昕裕房地产开发有限公司,2,904户
20191030,松江,松江大学城,云清路40号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016729576321966/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,龙腾路2835号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292401/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,梅家浜路1500弄103号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453581/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,文涵路1068号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862331/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,文汇路336号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862369/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,松江,松江大学城,文汇路154号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862366/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,广富林路1092号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970782110283/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,广富林路63号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970782110310/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,沪松公路3670号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350408/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,茸盛路496号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020029727592855/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,淡家浜街134号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027487973602/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,广富林路1502-6号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5017116387881856/,2013年建成 ,板楼,1.8元/平米/月,暂无信息,绿城集团,1,1户
20191030,松江,松江大学城,洞薛路269号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599657836/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,洞薛路227号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599657835/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,松江,松江大学城,文汇路640号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862374/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,广富林路1094号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020030201586070/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,文汇路358号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862371/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,文汇路428弄225号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862372/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,广富林路1222号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970782110304/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,松江,松江大学城,文涵路1076号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862332/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,文宇路128-130号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862419/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,松江,松江大学城,文祥路928弄3号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862404/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,松江大学城,广富林路3499号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970782110308/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
