20191030,黄浦,五里桥,运泰公寓,91505元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016766/,1999年建成 ,塔楼,1.48元/平米/月,上海运泰物业管理有限,上海运泰经济发展股份有限公司,3,414户
20191030,黄浦,五里桥,蒙自大楼,75113元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014098/,2000年建成 ,塔楼,1.2元/平米/月,上海长宜物业管理有限,上海申公房地产开发有限公司,1,133户
20191030,黄浦,五里桥,丽园路660号,84599元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007129/,1983年建成 ,板楼,0.7元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,1,16户
20191030,黄浦,五里桥,正达公寓,83848元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017698/,1995年建成 ,板楼,1.5元/平米/月,正达,正达置业有限公司,12,156户
20191030,黄浦,五里桥,斜土路520-540号,70524元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000284/,1979年建成 ,板楼,1至1.9元/平米/月,上海市政,上海奥康房地产开发有限公司,3,121户
20191030,黄浦,五里桥,瞿溪路830弄,81281元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006134/,1984年建成 ,板楼,0.42至0.8元/平米/月,上海永理置业管理有限,上海永理置业管理有限公司,10,250户
20191030,黄浦,五里桥,德福苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015158/,2002年建成 ,板楼,1.76元/平米/月,上海航天物业管理有限,上海嘉幸房地产开发有限公司,10,288户
20191030,黄浦,五里桥,城申公寓,79158元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014354/,1996年建成 ,塔楼/板楼,1元/平米/月,旭洋,上海老城,1,139户
20191030,黄浦,五里桥,斜土路262弄,72286元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008547/,1985年建成 ,板楼,0.8元/平米/月,上海永理置业管理有限,中海地产,6,155户
20191030,黄浦,五里桥,华电公寓,79971元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015521/,1998年建成 ,塔楼,1.35元/平米/月,上海电力物业管理有限,电力集团,1,160户
20191030,黄浦,五里桥,局门路160-162号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006078/,1985年建成 ,板楼,0.8元/平米/月,上海永理置业管理有限,上海南上海动拆迁置业有限公司,2,60户
20191030,黄浦,五里桥,制造局路370弄,71077元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005904/,1974年建成 ,板楼,0.7至1.56元/平米/月,上海徐汇物业管理,上海伯爵地产,10,239户
20191030,黄浦,五里桥,斜土路338-368号,75713元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/509821540058081/,1980年建成 ,板楼,0.5至0.6元/平米/月,上海永理置业管理有限,中海地产,4,102户
20191030,黄浦,五里桥,百溪公寓,80574元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000067/,1993年建成 ,板楼,0.42至0.8元/平米/月,上海永理置业管理有限,上海永理置业管理有限公司,12,284户
20191030,黄浦,五里桥,局门路573弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006875/,1986年建成 ,板楼,0.5元/平米/月,上海永理置业管理有限,上海永理置业管理有限公司,6,124户
20191030,黄浦,五里桥,局门路225弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014148906266639/,1995年建成 ,塔楼,4元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,3,3户
20191030,黄浦,五里桥,斜土路31号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736496776/,2001年建成 ,平房,4元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,1,1户
20191030,黄浦,五里桥,鲁班路197-211号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249782/,1995年建成 ,板楼,4元/平米/月,绿众物业管理（上海）有限, 合肥万科瑞翔地产有限公司,1,5户
20191030,黄浦,五里桥,白云公寓,63704元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015735/,1998年建成 ,塔楼,1.5元/平米/月,自主,上海飞人房地产开发经营有限公司,1,126户
20191030,黄浦,五里桥,安佳公寓,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010466/,1998年建成 ,板楼,0.45元/平米/月,精舍,中海地产,4,70户
