20191030,黄浦,豫园,康家弄56号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013628144364586/,1912年建成 ,塔板结合,1元/平米/月,上海豫园物业管理有限,上海豫园,1,1户
20191030,黄浦,豫园,学院路218弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014398432490222/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,黄浦,豫园,盛家街80弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024559057850/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,豫园,柳江街5号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020028380756511/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,豫园,光启路119弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023657893156/,1988年建成 ,板楼,0.5元/平米/月,城锦,上海南市房地产开发实业总公司,3,5户
20191030,黄浦,豫园,光启路123号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023545639250/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,黄浦,豫园,金家旗杆弄34弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023690412981/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,豫园,倒川弄80弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026359234475/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,豫园,金陵东路167号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011841/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,黄浦,豫园,马园街13号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027558220428/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,豫园,人民路875号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027486926251/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
