20191030,黄浦,人民广场,新桥路17号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066218/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,新闸路417-419号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066431/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,新闸路443-445号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066436/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,南京西路198号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941879/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,南京西路2888号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941885/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,南苏州路1305号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675942034/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,新昌路358号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015688812759820/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,江阴路158号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970554044444/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,黄浦,人民广场,重庆北路32号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146530/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,武胜路471号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169832/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,黄陂北路159号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249672/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
